id,hybrid_meta_score
medquad_3313,0.61
medquad_373,1.0
medquad_6096,0.98
medquad_240,1.0
medquad_5634,0.01
medquad_6646,0.27
medquad_343,1.0
medquad_6257,0.85
medquad_4632,0.96
medquad_3807,0.99
medquad_12837,0.91
medquad_8139,1.0
medquad_2655,1.0
medquad_10294,0.95
medquad_11443,1.0
medquad_13030,1.0
medquad_8149,0.95
medquad_6924,0.98
medquad_13195,0.91
medquad_11342,0.92
medquad_4542,0.88
medquad_3791,1.0
medquad_6300,1.0
medquad_12154,1.0
medquad_7227,0.93
medquad_3071,0.87
medquad_3219,0.98
medquad_4155,0.85
medquad_11899,1.0
medquad_10005,0.95
medquad_3828,0.97
medquad_8015,0.04
medquad_2048,0.97
medquad_2950,0.95
medquad_2220,1.0
medquad_7009,0.02
medquad_7840,1.0
medquad_2364,0.9
medquad_7012,0.99
medquad_9378,1.0
medquad_9242,0.88
medquad_825,0.99
medquad_1088,1.0
medquad_4616,0.99
medquad_11196,1.0
medquad_5328,1.0
medquad_9266,0.97
medquad_10257,1.0
medquad_9771,1.0
medquad_7214,0.34
medquad_7984,0.95
medquad_8655,0.95
medquad_1270,0.92
medquad_820,0.95
medquad_1331,1.0
medquad_7719,0.99
medquad_10919,0.71
medquad_2124,1.0
medquad_5122,1.0
medquad_13812,0.99
medquad_4076,0.98
medquad_1573,0.96
medquad_6651,0.99
medquad_8571,0.98
medquad_462,1.0
medquad_2849,1.0
medquad_234,0.81
medquad_9405,0.98
medquad_2239,0.7
medquad_327,0.98
medquad_13924,0.98
medquad_7961,0.24
medquad_6743,1.0
medquad_2407,1.0
medquad_8953,0.97
medquad_3472,0.99
medquad_657,1.0
medquad_1149,0.98
medquad_4990,1.0
medquad_8775,0.99
medquad_13079,1.0
medquad_5384,0.94
medquad_10546,0.99
medquad_7218,1.0
medquad_6071,0.0
medquad_14043,0.99
medquad_8774,0.01
medquad_8694,0.01
medquad_10358,1.0
medquad_551,0.95
medquad_1473,0.98
medquad_6694,1.0
medquad_8939,0.01
medquad_1934,1.0
medquad_11088,0.77
medquad_4945,0.9
medquad_13552,0.9
medquad_8590,1.0
medquad_13370,1.0
medquad_5061,0.01
medquad_5676,0.04
medquad_4543,0.96
medquad_7548,1.0
medquad_1053,1.0
medquad_8225,0.93
medquad_7021,0.03
medquad_4103,0.7
medquad_10544,1.0
medquad_7687,0.0
medquad_4529,0.95
medquad_214,0.99
medquad_2023,1.0
medquad_737,1.0
medquad_1365,1.0
medquad_621,1.0
medquad_1250,1.0
medquad_14032,1.0
medquad_8171,0.92
medquad_2260,0.99
medquad_10840,0.98
medquad_13973,1.0
medquad_6158,0.0
medquad_8066,0.98
medquad_6196,0.97
medquad_654,0.95
medquad_1524,0.98
medquad_12595,0.99
medquad_6226,0.73
medquad_3163,1.0
medquad_13825,0.97
medquad_13930,1.0
medquad_2790,1.0
medquad_9430,1.0
medquad_6195,1.0
medquad_650,0.92
medquad_12712,0.89
medquad_4106,1.0
medquad_2346,0.93
medquad_1790,0.99
medquad_5168,1.0
medquad_10968,0.98
medquad_9658,0.99
medquad_2612,0.3
medquad_1425,1.0
medquad_10851,0.97
medquad_6018,1.0
medquad_4195,1.0
medquad_9644,1.0
medquad_267,1.0
medquad_13242,0.99
medquad_13693,1.0
medquad_392,0.9
medquad_13681,1.0
medquad_12305,0.27
medquad_11340,0.4
medquad_10809,0.98
medquad_2645,0.99
medquad_9974,0.97
medquad_1646,0.99
medquad_6995,1.0
medquad_6321,0.98
medquad_11846,1.0
medquad_8615,0.96
medquad_5030,0.84
medquad_5315,1.0
medquad_2550,0.97
medquad_7634,0.74
medquad_8256,0.99
medquad_4514,1.0
medquad_7517,0.0
medquad_7995,1.0
medquad_6178,0.01
medquad_2703,1.0
medquad_11056,0.97
medquad_13778,0.92
medquad_12610,1.0
medquad_2840,0.99
medquad_14070,0.84
medquad_866,0.98
medquad_7315,0.0
medquad_9370,0.95
medquad_3901,1.0
medquad_3558,1.0
medquad_1518,0.99
medquad_13104,1.0
medquad_8326,0.91
medquad_9225,0.97
medquad_9612,1.0
medquad_8141,0.97
medquad_5192,0.0
medquad_12938,0.99
medquad_6387,0.92
medquad_7217,1.0
medquad_9803,0.95
medquad_4730,1.0
medquad_4822,0.92
medquad_92,0.95
medquad_8565,0.99
medquad_255,0.97
medquad_6298,0.0
medquad_10882,0.98
medquad_150,0.97
medquad_8802,0.0
medquad_4160,0.99
medquad_8488,0.96
medquad_1212,1.0
medquad_6799,0.92
medquad_13507,1.0
medquad_10582,0.6
medquad_8892,0.99
medquad_2711,0.19
medquad_11058,1.0
medquad_10729,0.98
medquad_7593,1.0
medquad_12803,0.9
medquad_8317,0.95
medquad_8357,0.98
medquad_811,0.94
medquad_1289,1.0
medquad_2375,0.52
medquad_7537,1.0
medquad_11212,0.96
medquad_577,1.0
medquad_12540,0.9
medquad_10243,1.0
medquad_3988,0.93
medquad_13535,1.0
medquad_10352,0.99
medquad_11049,0.99
medquad_874,0.99
medquad_2916,0.71
medquad_2641,0.88
medquad_1964,0.79
medquad_1072,0.94
medquad_10068,0.98
medquad_4063,1.0
medquad_6817,0.05
medquad_10687,1.0
medquad_12269,0.89
medquad_4140,1.0
medquad_2240,1.0
medquad_8222,0.84
medquad_9768,0.98
medquad_5970,0.99
medquad_10696,0.96
medquad_11828,0.9
medquad_4475,1.0
medquad_413,0.99
medquad_11268,0.98
medquad_2263,0.96
medquad_6882,0.03
medquad_12969,1.0
medquad_3771,0.84
medquad_4538,1.0
medquad_2656,1.0
medquad_3616,1.0
medquad_9281,1.0
medquad_13477,0.0
medquad_9674,1.0
medquad_12104,0.99
medquad_4796,0.92
medquad_11490,1.0
medquad_9805,0.07
medquad_10167,0.98
medquad_7289,1.0
medquad_2530,0.11
medquad_11023,0.79
medquad_9782,1.0
medquad_9239,0.0
medquad_1253,1.0
medquad_4068,1.0
medquad_13525,0.97
medquad_1796,0.75
medquad_11355,1.0
medquad_10399,0.96
medquad_4410,0.97
medquad_12788,1.0
medquad_6033,1.0
medquad_6410,0.99
medquad_535,0.98
medquad_6579,1.0
medquad_10467,1.0
medquad_6105,1.0
medquad_1060,0.98
medquad_6191,1.0
medquad_947,1.0
medquad_2763,0.5
medquad_10297,0.97
medquad_1805,0.93
medquad_10189,0.99
medquad_8551,0.97
