id,internal_signal_score
medquad_3313,0.91
medquad_373,0.99
medquad_6096,0.98
medquad_240,0.88
medquad_5634,0.16
medquad_6646,0.1
medquad_343,0.98
medquad_6257,0.9
medquad_4632,0.93
medquad_3807,0.92
medquad_12837,0.84
medquad_8139,0.95
medquad_2655,0.96
medquad_10294,0.98
medquad_11443,0.99
medquad_13030,0.98
medquad_8149,1.0
medquad_6924,0.92
medquad_13195,0.99
medquad_11342,0.89
medquad_4542,0.95
medquad_3791,0.88
medquad_6300,0.92
medquad_12154,1.0
medquad_7227,0.92
medquad_3071,0.92
medquad_3219,0.97
medquad_4155,0.99
medquad_11899,0.95
medquad_10005,0.93
medquad_3828,0.94
medquad_8015,0.24
medquad_2048,1.0
medquad_2950,0.9
medquad_2220,0.96
medquad_7009,0.27
medquad_7840,0.99
medquad_2364,0.9
medquad_7012,0.91
medquad_9378,1.0
medquad_9242,0.95
medquad_825,0.95
medquad_1088,0.97
medquad_4616,0.97
medquad_11196,0.98
medquad_5328,1.0
medquad_9266,0.96
medquad_10257,1.0
medquad_9771,0.99
medquad_7214,0.28
medquad_7984,0.94
medquad_8655,0.98
medquad_1270,0.9
medquad_820,0.89
medquad_1331,0.98
medquad_7719,0.95
medquad_10919,0.91
medquad_2124,1.0
medquad_5122,0.98
medquad_13812,0.99
medquad_4076,0.98
medquad_1573,0.89
medquad_6651,0.99
medquad_8571,0.95
medquad_462,0.94
medquad_2849,0.98
medquad_234,0.85
medquad_9405,0.81
medquad_2239,0.9
medquad_327,0.9
medquad_13924,0.99
medquad_7961,0.0
medquad_6743,0.99
medquad_2407,0.98
medquad_8953,0.91
medquad_3472,0.94
medquad_657,0.99
medquad_1149,0.98
medquad_4990,0.98
medquad_8775,0.99
medquad_13079,1.0
medquad_5384,0.93
medquad_10546,0.97
medquad_7218,0.98
medquad_6071,0.04
medquad_14043,0.9
medquad_8774,0.06
medquad_8694,0.11
medquad_10358,0.96
medquad_551,0.92
medquad_1473,0.9
medquad_6694,0.96
medquad_8939,0.1
medquad_1934,0.98
medquad_11088,0.98
medquad_4945,0.99
medquad_13552,0.99
medquad_8590,0.99
medquad_13370,0.98
medquad_5061,0.05
medquad_5676,0.12
medquad_4543,0.93
medquad_7548,0.99
medquad_1053,0.93
medquad_8225,0.87
medquad_7021,0.07
medquad_4103,0.84
medquad_10544,0.99
medquad_7687,0.06
medquad_4529,0.99
medquad_214,0.87
medquad_2023,0.94
medquad_737,0.93
medquad_1365,0.97
medquad_621,0.95
medquad_1250,0.99
medquad_14032,0.96
medquad_8171,1.0
medquad_2260,1.0
medquad_10840,0.93
medquad_13973,1.0
medquad_6158,0.05
medquad_8066,0.96
medquad_6196,0.97
medquad_654,0.94
medquad_1524,0.95
medquad_12595,0.87
medquad_6226,0.96
medquad_3163,0.97
medquad_13825,0.98
medquad_13930,0.98
medquad_2790,0.94
medquad_9430,0.98
medquad_6195,1.0
medquad_650,0.97
medquad_12712,0.97
medquad_4106,0.93
medquad_2346,0.9
medquad_1790,0.89
medquad_5168,0.92
medquad_10968,0.98
medquad_9658,0.98
medquad_2612,0.35
medquad_1425,1.0
medquad_10851,0.94
medquad_6018,1.0
medquad_4195,0.93
medquad_9644,0.98
medquad_267,0.86
medquad_13242,0.98
