id,hybrid_meta_score
medquad_3313,0.78
medquad_373,1.0
medquad_6096,1.0
medquad_240,1.0
medquad_5634,0.0
medquad_6646,0.06
medquad_343,1.0
medquad_6257,0.99
medquad_4632,1.0
medquad_3807,1.0
medquad_12837,1.0
medquad_8139,1.0
medquad_2655,0.46
medquad_10294,1.0
medquad_11443,1.0
medquad_13030,0.86
medquad_8149,0.94
medquad_6924,1.0
medquad_13195,0.96
medquad_11342,1.0
medquad_4542,0.99
medquad_3791,0.99
medquad_6300,0.86
medquad_12154,1.0
medquad_7227,0.88
medquad_3071,0.95
medquad_3219,0.94
medquad_4155,1.0
medquad_11899,0.99
medquad_10005,1.0
medquad_3828,1.0
medquad_8015,0.0
medquad_2048,1.0
medquad_2950,1.0
medquad_2220,1.0
medquad_7009,0.0
medquad_7840,0.98
medquad_2364,1.0
medquad_7012,0.95
medquad_9378,1.0
medquad_9242,0.89
medquad_825,1.0
medquad_1088,1.0
medquad_4616,0.99
medquad_11196,1.0
medquad_5328,0.99
medquad_9266,1.0
medquad_10257,1.0
medquad_9771,1.0
medquad_7214,0.04
medquad_7984,0.84
medquad_8655,1.0
medquad_1270,1.0
medquad_820,0.92
medquad_1331,0.85
medquad_7719,1.0
medquad_10919,0.91
medquad_2124,1.0
medquad_5122,0.99
medquad_13812,1.0
medquad_4076,1.0
medquad_1573,0.96
medquad_6651,1.0
medquad_8571,1.0
medquad_462,0.99
medquad_2849,1.0
medquad_234,1.0
medquad_9405,1.0
medquad_2239,0.99
medquad_327,1.0
medquad_13924,0.96
medquad_7961,0.13
medquad_6743,0.8
medquad_2407,0.97
medquad_8953,1.0
medquad_3472,0.99
medquad_657,0.95
medquad_1149,1.0
medquad_4990,1.0
medquad_8775,0.98
medquad_13079,1.0
medquad_5384,1.0
medquad_10546,1.0
medquad_7218,1.0
medquad_6071,0.0
medquad_14043,0.63
medquad_8774,0.0
medquad_8694,0.31
medquad_10358,1.0
medquad_551,0.99
medquad_1473,0.86
medquad_6694,0.97
medquad_8939,0.13
medquad_1934,0.85
medquad_11088,1.0
medquad_4945,1.0
medquad_13552,0.95
medquad_8590,0.97
medquad_13370,0.98
medquad_5061,0.0
medquad_5676,0.0
medquad_4543,0.77
medquad_7548,1.0
medquad_1053,1.0
medquad_8225,0.99
medquad_7021,0.0
medquad_4103,1.0
medquad_10544,0.8
medquad_7687,0.0
medquad_4529,0.98
medquad_214,0.86
medquad_2023,1.0
medquad_737,0.99
medquad_1365,0.65
medquad_621,1.0
medquad_1250,1.0
medquad_14032,1.0
medquad_8171,1.0
medquad_2260,1.0
medquad_10840,1.0
medquad_13973,1.0
medquad_6158,0.0
medquad_8066,0.98
medquad_6196,0.71
medquad_654,0.99
medquad_1524,0.98
medquad_12595,1.0
medquad_6226,0.92
medquad_3163,1.0
medquad_13825,1.0
medquad_13930,0.99
medquad_2790,1.0
medquad_9430,1.0
medquad_6195,1.0
medquad_650,1.0
medquad_12712,0.99
medquad_4106,1.0
medquad_2346,0.99
medquad_1790,1.0
medquad_5168,1.0
medquad_10968,1.0
medquad_9658,1.0
medquad_2612,0.19
medquad_1425,1.0
medquad_10851,1.0
medquad_6018,1.0
medquad_4195,1.0
medquad_9644,0.69
medquad_267,1.0
medquad_13242,1.0
medquad_13693,1.0
medquad_392,1.0
medquad_13681,0.86
medquad_12305,0.0
medquad_11340,0.13
medquad_10809,0.99
medquad_2645,1.0
medquad_9974,0.99
medquad_1646,0.99
medquad_6995,0.92
medquad_6321,1.0
medquad_11846,1.0
medquad_8615,1.0
medquad_5030,1.0
medquad_5315,0.99
medquad_2550,1.0
medquad_7634,1.0
medquad_8256,0.99
medquad_4514,1.0
medquad_7517,0.0
medquad_7995,1.0
medquad_6178,0.0
medquad_2703,1.0
medquad_11056,1.0
medquad_13778,1.0
medquad_12610,1.0
medquad_2840,1.0
medquad_14070,1.0
medquad_866,1.0
medquad_7315,0.77
medquad_9370,0.95
medquad_3901,1.0
medquad_3558,0.67
medquad_1518,1.0
medquad_13104,0.98
medquad_8326,1.0
medquad_9225,0.83
medquad_9612,1.0
medquad_8141,0.99
medquad_5192,0.0
medquad_12938,0.95
medquad_6387,1.0
medquad_7217,0.97
medquad_9803,0.98
medquad_4730,0.99
medquad_4822,0.88
medquad_92,1.0
medquad_8565,1.0
medquad_255,1.0
medquad_6298,0.0
medquad_10882,0.99
medquad_150,0.99
medquad_8802,0.29
medquad_4160,0.99
medquad_8488,1.0
medquad_1212,0.95
medquad_6799,1.0
medquad_13507,1.0
medquad_10582,1.0
medquad_8892,1.0
medquad_2711,0.73
medquad_11058,1.0
medquad_10729,1.0
medquad_7593,0.85
medquad_12803,1.0
medquad_8317,1.0
medquad_8357,1.0
medquad_811,1.0
medquad_1289,1.0
medquad_2375,1.0
medquad_7537,1.0
medquad_11212,1.0
medquad_577,0.99
medquad_12540,0.99
medquad_10243,0.97
medquad_3988,0.97
medquad_13535,1.0
medquad_10352,0.91
medquad_11049,0.86
medquad_874,0.95
medquad_2916,0.83
medquad_2641,0.99
medquad_1964,0.92
medquad_1072,1.0
medquad_10068,1.0
medquad_4063,0.99
medquad_6817,0.0
medquad_10687,1.0
medquad_12269,1.0
medquad_4140,0.96
medquad_2240,0.97
medquad_8222,1.0
medquad_9768,1.0
medquad_5970,1.0
medquad_10696,0.98
medquad_11828,0.97
medquad_4475,1.0
medquad_413,0.99
medquad_11268,1.0
medquad_2263,1.0
medquad_6882,0.0
medquad_12969,1.0
medquad_3771,1.0
medquad_4538,1.0
medquad_2656,0.97
medquad_3616,1.0
medquad_9281,0.63
medquad_13477,0.0
medquad_9674,0.95
medquad_12104,0.87
medquad_4796,0.93
medquad_11490,1.0
medquad_9805,0.0
medquad_10167,1.0
medquad_7289,1.0
medquad_2530,0.57
medquad_11023,0.81
medquad_9782,0.96
medquad_9239,0.51
medquad_1253,1.0
medquad_4068,0.96
medquad_13525,0.86
