id,internal_signal_score
5c8972d4d558e5f232000006,0.45
533c3af6c45e13371400000d,0.82
531375a6e3eabad021000011,0.91
51766e438ed59a060a000031,0.95
5d35e421b3a638076300000d,0.89
601dc46c1cb411341a000050,0.21
5c928afeecadf2e73f000018,0.23
532f0b2cd6d3ac6a3400002c,0.91
58dbbdac8acda3452900001e,0.37
52c7311903868f1b0600001d,0.98
60490dc71cb411341a000167,0.35
5be2a070133db5eb78000013,0.89
56c079b1ef6e394741000022,0.97
5c74111f7c78d694710000a1,0.87
5363bad27d100faa0900000e,0.98
602496791cb411341a00009d,0.96
56e30dd551531f7e33000016,0.98
53262cdcd6d3ac6a34000003,0.86
58dd2cb08acda34529000029,0.19
5c5217fd7e3cb0e231000005,0.75
515df98f298dcd4e51000030,0.22
5e42d1a748dab47f26000010,0.97
550e866271445a662f000005,0.92
6025d9e41cb411341a0000b7,0.36
61f7d4da882a024a10000033,0.19
587f7a69d8d850a152000001,0.86
5c7161f47c78d69471000066,0.94
5c6aef167c78d69471000023,0.96
61f58a1a882a024a10000009,0.16
5162e9df298dcd4e5100004b,0.15
587e07023ec846c24f000001,0.9
54edf81f94afd61504000014,0.93
5327139ad6d3ac6a3400000d,0.39
623e02e0f0baec9a1b000005,0.96
61f5914e882a024a1000000d,0.96
5e360f3d158f994d3a000009,0.88
5516fc8832767d0305000002,0.46
5ab2cc66fcf4565872000015,0.97
6206cfd5c9dfcb9c09000040,0.9
5e2b0d71fbd6abf43b000001,0.31
5a882b5761bb38fb24000013,0.87
589a247078275d0c4a000035,0.78
589a246f78275d0c4a000034,0.28
5c7d6b3e45e140a523000001,0.95
5721f6f90fd6f91b68000012,0.08
5a981bcffcd1d6a10c00002d,0.96
5e52c0c76d0a27794100004b,0.05
5e342175fbd6abf43b000064,0.71
56f96333cf1c325851000004,0.82
56cf4b623975bb303a00000a,0.87
621b4a223a8413c65300003a,0.93
61f60735882a024a10000022,0.94
593ff22b70f9fc6f0f000023,0.99
601ff55a1cb411341a000077,0.88
5a7612b483b0d9ea6600001d,0.23
5ac725250340b9f058000006,0.98
536787467d100faa09000010,0.97
5e7641a0c6a8763d23000011,0.97
626aa929e764a53204000039,0.96
5c72a9147c78d6947100006e,0.93
52b2e498f828ad283c000010,0.94
5c85234775a4a5d219000007,0.85
58a45d6060087bc10a00001d,0.92
5e361c8792b3349b55000001,0.92
5fe31316a43ad31278000043,0.91
5c57041807647bbc4b000015,0.92
5896399978275d0c4a00000b,0.1
61f6055b882a024a10000021,0.96
5e36d5b9b5b409ea53000009,0.93
532ff558d6d3ac6a34000037,0.31
6278c73756bf9aee6f00000b,0.93
5a76160a83b0d9ea66000020,0.92
53551206a0726bee57000001,0.92
51635202298dcd4e5100004f,0.94
5e669e0e1af46fc130000019,0.78
602357ff1cb411341a00009a,0.85
5a80dbaafaa1ab7d2e000026,0.41
5321bb019b2d7acc7e00000b,0.12
5a6a02a3b750ff4455000021,0.92
52e0c9a298d0239505000010,0.9
5a96c74cfcd1d6a10c000029,0.91
5e763645c6a8763d2300000d,0.52
531d2aa5267d7dd053000003,0.31
61f9cb19c9dfcb9c09000002,0.11
5a7639419e632bc066000005,0.93
5165932e298dcd4e51000059,0.98
52b2f09f4003448f55000008,0.1
6238a32a3a8413c6530000b9,0.89
605b9c2a94d57fd879000035,0.63
56c3326750c68dd41600000b,0.87
5e920fe42d3121100d00000f,0.9
56cdf3995795f9a73e00003a,0.1
5e776db8835f4e4777000011,0.88
588f341594c1512c50000002,0.92
5548da00f35db7552600000b,0.98
518cb5ab310faafe08000008,0.98
5e30b870fbd6abf43b000038,0.87
622dc4b63a8413c6530000a4,0.35
5fdb4311a43ad31278000028,0.25
553f7a71ab98a37113000009,0.99
533ea8fcc45e133714000010,0.97
5a6e3155b750ff445500003f,0.93
55032d8be9bde69634000033,0.07
5c7d5fcfd774d04240000011,0.93
5321bc309b2d7acc7e00000d,0.94
58cdb41302b8c60953000042,0.88
6217e1ac3a8413c653000031,0.17
552fa6f5bc4f83e828000002,0.19
53443b13aeec6fbd0700000e,0.14
5505db6a8e1671127b000003,0.86
54d630283706e89528000004,0.2
58e79e703e8b6dc87c00000a,0.97
601d72c21cb411341a000038,0.95
5a75ee7e83b0d9ea66000005,0.92
5e2894109499698331000002,0.95
5a773c50faa1ab7d2e000002,0.08
601f19d11cb411341a000073,0.83
530cefaaad0bf1360c000004,0.34
5c53131e7e3cb0e231000012,0.83
530e131b5937551c09000002,0.13
5a9d99ac4e03427e73000002,0.92
5a6e49a4b750ff445500004b,0.17
5c7f806d617e120c34000001,0.4
53124bdae3eabad02100000b,0.95
530f900ee3eabad021000003,0.8
601eb56c1cb411341a000058,0.98
56c71cb65795f9a73e00000b,0.11
606b648394d57fd879000069,0.92
5fdb84f2a43ad31278000030,0.86
589644c478275d0c4a00000d,0.24
5e9208da2d3121100d00000a,0.99
5c961603ecadf2e73f000022,0.87
60234bd51cb411341a000093,0.18
621e9aa13a8413c653000053,0.23
5a9d31711d1251d03b00001c,0.9
56ffdc1ccf1c32585100000b,0.93
5c580fe107647bbc4b00001b,0.95
55031650e9bde69634000026,0.02
5357b9bcf1005d6b58000008,0.99
5be94f3d133db5eb78000022,0.96
55411d9f379ddf3f47000001,0.88
56e073ad51531f7e3300000e,0.28
58bbbe6822d300530900001a,0.88
516e5f25298dcd4e5100007d,0.85
51406e6223fec90375000009,0.41
5d35f1267bc3fee31f000004,0.97
622664fa3a8413c653000086,0.97
5c76d0417c78d694710000a8,0.91
53592c1e9a4572de6f000002,0.95
589c42b178275d0c4a00003f,0.97
5c0117fd133db5eb7800002a,1.0
5314a7a4dae131f847000003,0.95
60329dc11cb411341a000147,0.88
530cefaaad0bf1360c000010,0.14
5c7036127c78d69471000064,0.92
530cf4e0c8a0b4a00c000004,0.97
58df5efbc784871774000001,0.23
5c0e838b133db5eb7800002e,0.17
624f0813e764a5320400000a,0.94
5a8b27e6fcd1d6a10c00001e,0.95
5a6e18d8b750ff4455000038,0.19
550899c92e93f0133a000003,0.14
56b1f4300a360a5e4500001b,0.96
5a8980d2fcd1d6a10c00000d,0.98
602c1d3b1cb411341a00011e,0.95
5e5508e2b761aafe09000006,0.35
5506e2ff8e1671127b00000d,0.96
