id,internal_signal_score
588f2de394c1512c50000001,0.87
5a6f960fb750ff445500005c,0.95
58a6b98860087bc10a000028,0.08
5c928958ecadf2e73f000017,0.87
5d3856ca7bc3fee31f000016,0.16
5e2dbf48fbd6abf43b00001a,0.57
530cf4e0c8a0b4a00c000004,0.91
5e44c76f48dab47f26000022,0.53
5e806ff7835f4e4777000027,0.47
5a7240aa2dc08e987e00000d,0.91
5cd96f33a49efeb44c000004,0.86
53443b13aeec6fbd0700000e,0.07
5c8972d4d558e5f232000006,0.54
533c3af6c45e13371400000d,0.96
531375a6e3eabad021000011,0.87
51766e438ed59a060a000031,0.92
5d35e421b3a638076300000d,0.8
601dc46c1cb411341a000050,0.58
5c928afeecadf2e73f000018,0.15
532f0b2cd6d3ac6a3400002c,0.9
58dbbdac8acda3452900001e,0.42
52c7311903868f1b0600001d,0.93
60490dc71cb411341a000167,0.36
5be2a070133db5eb78000013,0.89
56c079b1ef6e394741000022,0.91
5544f3005beec11c10000008,0.16
5363bad27d100faa0900000e,0.88
602496791cb411341a00009d,0.84
56e30dd551531f7e33000016,0.85
53262cdcd6d3ac6a34000003,0.75
58dd2cb08acda34529000029,0.17
5c5217fd7e3cb0e231000005,0.85
515df98f298dcd4e51000030,0.42
5e42d1a748dab47f26000010,0.92
550e866271445a662f000005,0.85
6025d9e41cb411341a0000b7,0.39
61f7d4da882a024a10000033,0.61
587f7a69d8d850a152000001,0.83
5c7161f47c78d69471000066,0.86
5c74111f7c78d694710000a1,0.89
61f58a1a882a024a10000009,0.39
5162e9df298dcd4e5100004b,0.03
587e07023ec846c24f000001,0.81
54edf81f94afd61504000014,0.96
623e02e0f0baec9a1b000005,0.92
5e360f3d158f994d3a000009,0.79
5516fc8832767d0305000002,0.45
5ab2cc66fcf4565872000015,0.82
55192892622b194345000012,0.94
61f5914e882a024a1000000d,0.96
5a882b5761bb38fb24000013,0.88
589a247078275d0c4a000035,0.78
589a246f78275d0c4a000034,0.42
5c7d6b3e45e140a523000001,0.78
5721f6f90fd6f91b68000012,0.24
5a981bcffcd1d6a10c00002d,0.85
5e52c0c76d0a27794100004b,0.04
5e342175fbd6abf43b000064,0.89
56f96333cf1c325851000004,0.9
56cf4b623975bb303a00000a,0.95
621b4a223a8413c65300003a,0.83
51680b0e298dcd4e51000065,0.32
593ff22b70f9fc6f0f000023,0.93
601ff55a1cb411341a000077,0.97
5a7612b483b0d9ea6600001d,0.57
5ac725250340b9f058000006,0.89
536787467d100faa09000010,0.89
5e7641a0c6a8763d23000011,0.94
626aa929e764a53204000039,0.78
5c72a9147c78d6947100006e,0.85
52b2e498f828ad283c000010,0.82
5c85234775a4a5d219000007,0.92
58a45d6060087bc10a00001d,0.8
5e361c8792b3349b55000001,0.89
5fe31316a43ad31278000043,0.94
5c57041807647bbc4b000015,0.9
5896399978275d0c4a00000b,0.03
61f6055b882a024a10000021,0.89
5e36d5b9b5b409ea53000009,0.96
532ff558d6d3ac6a34000037,0.26
6278c73756bf9aee6f00000b,0.96
5a76160a83b0d9ea66000020,0.94
53551206a0726bee57000001,0.92
51635202298dcd4e5100004f,0.9
5e669e0e1af46fc130000019,0.76
602357ff1cb411341a00009a,0.83
5a80dbaafaa1ab7d2e000026,0.56
5321bb019b2d7acc7e00000b,0.11
5a6a02a3b750ff4455000021,0.87
52e0c9a298d0239505000010,0.93
5a96c74cfcd1d6a10c000029,0.84
5e763645c6a8763d2300000d,0.68
531d2aa5267d7dd053000003,0.36
61f9cb19c9dfcb9c09000002,0.13
5a7639419e632bc066000005,0.81
5165932e298dcd4e51000059,0.94
52b2f09f4003448f55000008,0.19
5c8fea130101eac87000000d,0.4
605b9c2a94d57fd879000035,0.53
56c3326750c68dd41600000b,0.8
5e920fe42d3121100d00000f,0.9
6238a32a3a8413c6530000b9,0.94
5e776db8835f4e4777000011,0.94
588f341594c1512c50000002,0.86
5548da00f35db7552600000b,0.87
518cb5ab310faafe08000008,0.79
5e30b870fbd6abf43b000038,0.87
622dc4b63a8413c6530000a4,0.13
5fdb4311a43ad31278000028,0.4
553f7a71ab98a37113000009,0.84
533ea8fcc45e133714000010,0.94
5a6e3155b750ff445500003f,0.81
5506eca18e1671127b00000f,0.83
603219c21cb411341a000133,0.85
5321bc309b2d7acc7e00000d,0.81
621ecac13a8413c65300005f,0.89
6217e1ac3a8413c653000031,0.17
552fa6f5bc4f83e828000002,0.14
550ae16bc2af5d5b70000009,0.16
5505db6a8e1671127b000003,0.8
54d630283706e89528000004,0.51
58e79e703e8b6dc87c00000a,0.85
601d72c21cb411341a000038,0.87
5a75ee7e83b0d9ea66000005,0.91
5e2894109499698331000002,0.91
5a773c50faa1ab7d2e000002,0.1
56ffd805cf1c32585100000a,0.83
530cefaaad0bf1360c000004,0.61
5be44d8b133db5eb78000015,0.9
530e131b5937551c09000002,0.4
5a9d99ac4e03427e73000002,0.84
5a6e49a4b750ff445500004b,0.11
5c7f806d617e120c34000001,0.24
53124bdae3eabad02100000b,0.81
530f900ee3eabad021000003,0.8
601eb56c1cb411341a000058,0.81
56c71cb65795f9a73e00000b,0.17
53161545b166e2b806000002,0.89
5fdb84f2a43ad31278000030,0.79
54e12ae3ae9738404b000004,0.23
5e9208da2d3121100d00000a,0.83
589a245778275d0c4a000024,0.52
5c7006037c78d6947100005d,0.81
621e9aa13a8413c653000053,0.2
5a9d31711d1251d03b00001c,0.86
56ffdc1ccf1c32585100000b,0.89
5c580fe107647bbc4b00001b,0.85
55031650e9bde69634000026,0.02
5357b9bcf1005d6b58000008,0.92
51487dead24251bc05000030,0.94
55411d9f379ddf3f47000001,0.78
56e073ad51531f7e3300000e,0.19
58bbbe6822d300530900001a,0.85
516e5f25298dcd4e5100007d,0.94
51406e6223fec90375000009,0.36
587e0116ae05ffb474000002,0.92
622664fa3a8413c653000086,0.89
5c76d0417c78d694710000a8,0.87
605cc21d94d57fd879000036,0.92
589c42b178275d0c4a00003f,0.85
6057c2f894d57fd879000033,0.91
5314a7a4dae131f847000003,0.92
60329dc11cb411341a000147,0.87
530cefaaad0bf1360c000010,0.14
5c7036127c78d69471000064,0.92
511a4ec01159fa8212000004,0.04
624f0813e764a5320400000a,0.91
5a8b27e6fcd1d6a10c00001e,0.93
5a6e18d8b750ff4455000038,0.36
550899c92e93f0133a000003,0.07
56b1f4300a360a5e4500001b,0.86
5a8980d2fcd1d6a10c00000d,0.83
5c92871decadf2e73f000016,0.89
589644c478275d0c4a00000d,0.17
5506e2ff8e1671127b00000d,0.87
5150b807d24251bc05000072,0.78
56b330bb39c782df06000001,0.84
5a89800efcd1d6a10c00000c,0.89
6031270b1cb411341a00012c,0.83
54ff106b6ad7dcbc1200000c,0.35
51595fb0d24251bc0500009c,0.83
5e290a268b3851296d00000d,0.51
51763a278ed59a060a000030,0.36
5aa82180d6d6b54f79000015,0.09
51640b4a298dcd4e51000050,0.8
62211ebc3a8413c653000071,0.79
55031963e9bde6963400002a,0.04
5d36b8a37bc3fee31f000009,0.75
5cebf83ea49efeb44c00000a,0.63
5e338cf5fbd6abf43b00005d,0.29
571f34ac0fd6f91b68000005,0.38
601ee4c61cb411341a000066,0.81
53592c1e9a4572de6f000002,0.78
52f89fc62059c6d71c000050,0.83
5a6d022ab750ff445500002a,0.51
533c38b3c45e133714000009,0.85
5a8a9f18fcd1d6a10c00001a,0.29
56cdf4875795f9a73e000040,0.93
5895b7157d9090f353000009,0.8
5cb39707ecadf2e73f000060,0.91
5c65468ce842deac6700001e,0.94
56e6dfc2edfc094c1f000003,0.9
56c332a350c68dd41600000d,0.71
5149aafcd24251bc05000045,0.95
622dd1433a8413c6530000a5,0.03
6027f8ae1cb411341a0000ed,0.87
53357ca0d6d3ac6a3400004b,0.92
5a7428090384be9551000001,0.83
606a23c694d57fd87900004d,0.84
58bfd8e902b8c60953000018,0.91
58a5add260087bc10a000022,0.69
5a7a44b4faa1ab7d2e000010,0.37
5713b29f1174fb175500000f,0.93
52b2ed144003448f55000004,0.23
515c4f05298dcd4e51000006,0.93
601bde6e1cb411341a000006,0.93
5c5f3a1f1a4c55d80b000028,0.84
60274ec61cb411341a0000e5,0.81
58adc1ff9ef3c34033000006,0.9
5e46eb7a3f5415952900000d,0.8
571f2b5bbb137a4b0c000010,0.92
5328185dd6d3ac6a3400000e,0.18
58e7902b3e8b6dc87c000007,0.86
5d386ed6a1e1595105000004,0.93
5c6aef167c78d69471000023,0.86
6238a0033a8413c6530000b8,0.82
61f80d5d882a024a1000003c,0.4
5e4adcbe6d0a277941000017,0.38
5e3c80abb5b409ea53000024,0.6
5547ec32f35db7552600000a,0.86
6026d8641cb411341a0000cd,0.91
5fdb42e7a43ad31278000026,0.87
54d907c84b1fd0d33c000008,0.86
5e35d3c6158f994d3a000003,0.4
52e62bae98d0239505000015,0.84
5a6f922fb750ff4455000059,0.41
54df695b1388e8454a000004,0.91
606ad07394d57fd879000050,0.83
5a6fabfeb750ff4455000062,0.27
5c5f11c31a4c55d80b000015,0.87
5a6d1143b750ff445500002e,0.87
515ddda6298dcd4e5100001f,0.64
58e26ede6fddd3e83e000015,0.61
5a6e47b1b750ff4455000049,0.05
5e47592835b8f0833c000001,0.79
620155b6c9dfcb9c09000024,0.19
5709ee36cf1c32585100001e,0.81
56caea805795f9a73e00002c,0.85
5c896f60d558e5f232000003,0.86
58ce5c7c1f5fb2b734000001,0.96
5161cfa3298dcd4e5100003d,0.37
5c7a4ed5d774d04240000008,0.88
5c580aff07647bbc4b00001a,0.87
58da2a348acda34529000014,0.79
5d374c727bc3fee31f00000d,0.86
5c7d5fcfd774d04240000011,0.9
5353aedb288f4dae47000006,0.92
5c6d6b377c78d69471000039,0.82
61f9605f882a024a1000004f,0.17
6026ef9d1cb411341a0000d5,0.79
5c72c9207c78d6947100007b,0.92
571e12097de986d80d000017,0.87
604fc22894d57fd879000008,0.07
5ac0817cd0c506ce46000001,0.29
5c900983ecadf2e73f000002,0.95
5895bfdc7d9090f35300000c,0.92
53398855d6d3ac6a3400005b,0.98
5c52cde87e3cb0e23100000e,0.54
5e41620648dab47f2600000e,0.69
622b95dc3a8413c653000092,0.05
6081b0b44e6a4cf630000009,0.9
58a71bb960087bc10a00002d,0.13
602356b81cb411341a000099,0.8
54f08d4a94afd61504000016,0.29
53329c84d6d3ac6a34000040,0.31
5d387098a1e1595105000006,0.01
5a7626989e632bc066000001,0.44
60490c421cb411341a000166,0.9
58add7699ef3c34033000009,0.91
606aea9b94d57fd879000058,0.79
55450521bf90a13052000001,0.82
601cb4541cb411341a000024,0.79
530cefaaad0bf1360c000001,0.52
5139b31dbee46bd34c000004,0.85
551829a76487737b43000009,0.84
5ab144fefcf4565872000012,0.12
5e36e254b5b409ea53000010,0.92
52bf1d2e03868f1b0600000c,0.91
621b61833a8413c65300003e,0.15
62121c583a8413c653000016,0.22
62211c853a8413c65300006d,0.86
5fdb42b7a43ad31278000025,0.18
5c97a08becadf2e73f000029,0.65
56c1d857ef6e394741000033,0.92
51bdd9c2047fa84d1d000002,0.91
5a95765bfcd1d6a10c000028,0.84
5a722a052dc08e987e000002,0.18
5c5f2dc21a4c55d80b000024,0.91
58848ea5e56acf517600000e,0.35
5e2b0d167d50947c2f000002,0.87
5e51c6036d0a27794100003c,0.9
5e476b99d14c9f295d000001,0.15
52eeddfcc8da898910000010,0.79
606b75c194d57fd87900006c,0.97
5c72bd047c78d69471000077,0.35
5e2a1096aa19d7443100000e,0.83
5d35f1267bc3fee31f000004,0.86
54f35ad864850a5854000004,0.92
58cd675c02b8c6095300003b,0.23
5318a955b166e2b806000020,0.17
5d38767ca1e159510500000b,0.79
5a74b1730384be9551000007,0.81
5713c7dd1174fb1755000014,0.26
52b2e409f828ad283c00000e,0.92
589c215778275d0c4a00003c,0.84
54f4627e64850a5854000007,0.06
62058198c9dfcb9c09000030,0.88
5a896c26fcd1d6a10c000007,0.83
5311bf53e3eabad021000006,0.74
5c961603ecadf2e73f000022,0.91
58dbb4f08acda3452900001a,0.45
5c65b7657c78d6947100000c,0.8
601f19d11cb411341a000073,0.81
601c46f61cb411341a00001d,0.51
5aa4faaed6d6b54f7900000b,0.22
605271d994d57fd87900000f,0.87
593fe5c270f9fc6f0f000021,0.93
5e776a75835f4e477700000d,0.91
6032187e1cb411341a000132,0.2
5c93e8bdecadf2e73f00001c,0.87
5c70273c7c78d69471000061,0.88
5c960d88ecadf2e73f00001f,0.54
56be1723ef6e39474100000c,0.85
58a342e760087bc10a00001c,0.83
56ed27202ac5ed145900000c,0.93
5c7813f57c78d694710000b0,0.82
5cebe41ea49efeb44c000006,0.22
56be06cdef6e394741000004,0.96
5177def18ed59a060a000034,0.89
5e2f972bfbd6abf43b000030,0.91
5c5f22951a4c55d80b00001d,0.24
58e75d483e8b6dc87c000005,0.92
5e33904afbd6abf43b00005f,0.47
5be94f3d133db5eb78000022,0.9
51be1750047fa84d1d000005,0.26
58efa1b870f9fc6f0f000003,0.88
5148e42cd24251bc0500003b,0.09
512d2fff5274a5fb07000006,0.91
5a760ed883b0d9ea66000019,0.46
602598201cb411341a0000af,0.86
602c1d3b1cb411341a00011e,0.87
602a87c71cb411341a000117,0.92
605700d294d57fd879000021,0.96
5a7d50d0faa1ab7d2e000016,0.31
56f15c5a2ac5ed1459000012,0.2
62190bac3a8413c653000034,0.92
5c51fe8907ef653866000007,0.77
5147c8a6d24251bc05000027,0.88
6057c78994d57fd879000034,0.8
5e52add36d0a277941000047,0.87
6057238394d57fd879000029,0.94
530a3e18970c65fa6b000005,0.91
5a9d9ab94e03427e73000003,0.12
60282c3f1cb411341a0000fe,0.42
56d1e23c67f0cb3d66000009,0.91
517a8a718ed59a060a00003e,0.35
5ac07b67dd95b2cd42000001,0.23
5c6c46677c78d69471000035,0.87
6028fc001cb411341a000102,0.83
60805c344e6a4cf630000001,0.78
60296ace1cb411341a000115,0.93
5c654c14e842deac67000025,0.63
5881f9b65bf093691f000001,0.87
621911323a8413c653000038,0.89
52b2d405f828ad283c000009,0.91
62587803e764a5320400002b,0.87
58cdb41302b8c60953000042,0.76
52ef6da1c8da898910000011,0.26
5327139ad6d3ac6a3400000d,0.23
5fe31319a43ad31278000046,0.18
553c9f96f32186855800000c,0.95
552440452c8b63434a00000b,0.56
