id,internal_signal_score
5c8972d4d558e5f232000006,0.44
533c3af6c45e13371400000d,0.93
531375a6e3eabad021000011,0.72
51766e438ed59a060a000031,0.9
5d35e421b3a638076300000d,0.86
601dc46c1cb411341a000050,0.53
5c928afeecadf2e73f000018,0.16
532f0b2cd6d3ac6a3400002c,0.64
58dbbdac8acda3452900001e,0.22
52c7311903868f1b0600001d,0.88
60490dc71cb411341a000167,0.24
5be2a070133db5eb78000013,0.79
56c079b1ef6e394741000022,0.71
5c74111f7c78d694710000a1,0.81
5363bad27d100faa0900000e,0.73
602496791cb411341a00009d,0.87
56e30dd551531f7e33000016,0.83
53262cdcd6d3ac6a34000003,0.82
58dd2cb08acda34529000029,0.13
5c5217fd7e3cb0e231000005,0.65
515df98f298dcd4e51000030,0.29
5e42d1a748dab47f26000010,0.71
550e866271445a662f000005,0.77
6025d9e41cb411341a0000b7,0.31
61f7d4da882a024a10000033,0.21
587f7a69d8d850a152000001,0.83
5c7161f47c78d69471000066,0.84
5c6aef167c78d69471000023,0.77
61f58a1a882a024a10000009,0.35
5162e9df298dcd4e5100004b,0.06
587e07023ec846c24f000001,0.67
54edf81f94afd61504000014,0.9
5327139ad6d3ac6a3400000d,0.43
623e02e0f0baec9a1b000005,0.82
61f5914e882a024a1000000d,0.91
5e360f3d158f994d3a000009,0.84
5516fc8832767d0305000002,0.24
5ab2cc66fcf4565872000015,0.77
6206cfd5c9dfcb9c09000040,0.72
5e2b0d71fbd6abf43b000001,0.44
5a882b5761bb38fb24000013,0.86
589a247078275d0c4a000035,0.78
589a246f78275d0c4a000034,0.41
5c7d6b3e45e140a523000001,0.63
5721f6f90fd6f91b68000012,0.05
5a981bcffcd1d6a10c00002d,0.63
5e52c0c76d0a27794100004b,0.06
5e342175fbd6abf43b000064,0.74
56f96333cf1c325851000004,0.8
56cf4b623975bb303a00000a,0.74
621b4a223a8413c65300003a,0.82
61f60735882a024a10000022,0.77
593ff22b70f9fc6f0f000023,0.99
601ff55a1cb411341a000077,0.83
5a7612b483b0d9ea6600001d,0.17
5ac725250340b9f058000006,0.83
536787467d100faa09000010,0.75
5e7641a0c6a8763d23000011,0.81
626aa929e764a53204000039,0.79
5c72a9147c78d6947100006e,0.78
52b2e498f828ad283c000010,0.62
5c85234775a4a5d219000007,0.79
58a45d6060087bc10a00001d,0.82
5e361c8792b3349b55000001,0.72
5fe31316a43ad31278000043,0.76
5c57041807647bbc4b000015,0.85
5896399978275d0c4a00000b,0.12
61f6055b882a024a10000021,0.9
5e36d5b9b5b409ea53000009,0.74
532ff558d6d3ac6a34000037,0.33
6278c73756bf9aee6f00000b,0.91
5a76160a83b0d9ea66000020,0.81
53551206a0726bee57000001,0.88
51635202298dcd4e5100004f,0.86
5e669e0e1af46fc130000019,0.78
602357ff1cb411341a00009a,0.56
5a80dbaafaa1ab7d2e000026,0.45
5321bb019b2d7acc7e00000b,0.21
5a6a02a3b750ff4455000021,0.71
52e0c9a298d0239505000010,0.93
5a96c74cfcd1d6a10c000029,0.6
5e763645c6a8763d2300000d,0.43
531d2aa5267d7dd053000003,0.38
61f9cb19c9dfcb9c09000002,0.11
5a7639419e632bc066000005,0.74
5165932e298dcd4e51000059,0.8
52b2f09f4003448f55000008,0.28
6238a32a3a8413c6530000b9,0.81
605b9c2a94d57fd879000035,0.47
56c3326750c68dd41600000b,0.88
5e920fe42d3121100d00000f,0.76
56cdf3995795f9a73e00003a,0.2
5e776db8835f4e4777000011,0.76
588f341594c1512c50000002,0.78
5548da00f35db7552600000b,0.86
518cb5ab310faafe08000008,0.93
5e30b870fbd6abf43b000038,0.73
622dc4b63a8413c6530000a4,0.17
5fdb4311a43ad31278000028,0.17
553f7a71ab98a37113000009,0.78
533ea8fcc45e133714000010,0.73
5a6e3155b750ff445500003f,0.66
55032d8be9bde69634000033,0.04
5c7d5fcfd774d04240000011,0.88
5321bc309b2d7acc7e00000d,0.68
58cdb41302b8c60953000042,0.77
6217e1ac3a8413c653000031,0.25
552fa6f5bc4f83e828000002,0.07
53443b13aeec6fbd0700000e,0.05
5505db6a8e1671127b000003,0.66
54d630283706e89528000004,0.22
58e79e703e8b6dc87c00000a,0.88
601d72c21cb411341a000038,0.91
5a75ee7e83b0d9ea66000005,0.95
5e2894109499698331000002,0.85
5a773c50faa1ab7d2e000002,0.13
601f19d11cb411341a000073,0.68
530cefaaad0bf1360c000004,0.4
5c53131e7e3cb0e231000012,0.91
530e131b5937551c09000002,0.24
5a9d99ac4e03427e73000002,0.79
5a6e49a4b750ff445500004b,0.09
5c7f806d617e120c34000001,0.18
53124bdae3eabad02100000b,0.73
530f900ee3eabad021000003,0.7
601eb56c1cb411341a000058,0.84
56c71cb65795f9a73e00000b,0.1
606b648394d57fd879000069,0.84
5fdb84f2a43ad31278000030,0.94
589644c478275d0c4a00000d,0.16
5e9208da2d3121100d00000a,0.85
5c961603ecadf2e73f000022,0.84
60234bd51cb411341a000093,0.27
621e9aa13a8413c653000053,0.16
5a9d31711d1251d03b00001c,0.83
56ffdc1ccf1c32585100000b,0.77
5c580fe107647bbc4b00001b,0.64
55031650e9bde69634000026,0.27
5357b9bcf1005d6b58000008,0.82
5be94f3d133db5eb78000022,0.84
55411d9f379ddf3f47000001,0.86
56e073ad51531f7e3300000e,0.22
58bbbe6822d300530900001a,0.86
516e5f25298dcd4e5100007d,0.77
51406e6223fec90375000009,0.53
5d35f1267bc3fee31f000004,0.67
622664fa3a8413c653000086,0.7
5c76d0417c78d694710000a8,0.78
53592c1e9a4572de6f000002,0.9
589c42b178275d0c4a00003f,0.83
5c0117fd133db5eb7800002a,0.91
5314a7a4dae131f847000003,0.71
