id,hybrid_meta_score
medquad_3313,1.0
medquad_373,1.0
medquad_6096,1.0
medquad_240,0.97
medquad_5634,0.0
medquad_6646,0.26
medquad_343,1.0
medquad_6257,0.99
medquad_4632,0.08
medquad_3807,0.95
medquad_12837,0.72
medquad_8139,1.0
medquad_2655,1.0
medquad_10294,0.97
medquad_11443,0.88
medquad_13030,0.86
medquad_8149,1.0
medquad_6924,0.99
medquad_13195,0.99
medquad_11342,1.0
medquad_4542,1.0
medquad_3791,1.0
medquad_6300,1.0
medquad_12154,1.0
medquad_7227,0.88
medquad_3071,1.0
medquad_3219,1.0
medquad_4155,0.99
medquad_11899,0.96
medquad_10005,0.99
medquad_3828,0.96
medquad_8015,0.0
medquad_2048,1.0
medquad_2950,1.0
medquad_2220,1.0
medquad_7009,0.13
medquad_7840,0.97
medquad_2364,1.0
medquad_7012,0.77
medquad_9378,0.9
medquad_9242,0.98
medquad_825,1.0
medquad_1088,0.98
medquad_4616,0.97
medquad_11196,1.0
medquad_5328,1.0
medquad_9266,1.0
medquad_10257,0.98
medquad_9771,0.88
medquad_7214,0.0
medquad_7984,0.96
medquad_8655,1.0
medquad_1270,0.95
medquad_820,0.88
medquad_1331,0.65
medquad_7719,0.42
medquad_10919,0.66
medquad_2124,1.0
medquad_5122,1.0
medquad_13812,0.8
medquad_4076,0.68
medquad_1573,0.97
medquad_6651,0.98
medquad_8571,0.95
medquad_462,1.0
medquad_2849,0.96
medquad_234,0.95
medquad_9405,0.98
medquad_2239,0.89
medquad_327,1.0
medquad_13924,1.0
medquad_7961,0.0
medquad_6743,0.94
medquad_2407,0.91
medquad_8953,1.0
medquad_3472,0.99
medquad_657,1.0
medquad_1149,1.0
medquad_4990,0.65
medquad_8775,0.78
medquad_13079,1.0
medquad_5384,1.0
medquad_10546,0.79
medquad_7218,0.91
medquad_6071,0.0
medquad_14043,0.86
medquad_8774,0.0
medquad_8694,0.0
medquad_10358,0.89
medquad_551,0.97
medquad_1473,1.0
medquad_6694,1.0
medquad_8939,0.0
medquad_1934,0.98
medquad_11088,1.0
medquad_4945,1.0
medquad_13552,1.0
medquad_8590,1.0
medquad_13370,1.0
medquad_5061,0.0
medquad_5676,0.0
medquad_4543,0.16
medquad_7548,1.0
medquad_1053,1.0
medquad_8225,0.86
medquad_7021,0.0
medquad_4103,0.07
medquad_10544,0.66
medquad_7687,0.17
medquad_4529,0.92
medquad_214,0.99
medquad_2023,0.97
medquad_737,1.0
medquad_1365,0.96
medquad_621,0.93
medquad_1250,0.98
medquad_14032,1.0
medquad_8171,1.0
medquad_2260,1.0
medquad_10840,0.96
medquad_13973,0.93
medquad_6158,0.0
medquad_8066,0.76
medquad_6196,0.98
medquad_654,0.95
medquad_1524,0.98
medquad_12595,1.0
medquad_6226,0.86
medquad_3163,0.98
medquad_13825,0.94
medquad_13930,0.96
medquad_2790,0.99
medquad_9430,1.0
medquad_6195,1.0
medquad_650,1.0
medquad_12712,0.87
medquad_4106,0.1
medquad_2346,1.0
medquad_1790,0.98
medquad_5168,0.89
medquad_10968,1.0
medquad_9658,0.91
medquad_2612,0.24
medquad_1425,1.0
medquad_10851,0.92
medquad_6018,0.69
medquad_4195,1.0
medquad_9644,0.89
medquad_267,0.9
medquad_13242,1.0
medquad_13693,1.0
medquad_392,1.0
medquad_13681,1.0
medquad_12305,0.0
medquad_11340,0.0
medquad_10809,0.99
medquad_2645,1.0
medquad_9974,0.71
medquad_1646,1.0
medquad_6995,0.96
medquad_6321,0.95
medquad_11846,0.94
medquad_8615,1.0
medquad_5030,0.97
medquad_5315,0.99
medquad_2550,0.98
medquad_7634,0.79
medquad_8256,1.0
medquad_4514,1.0
medquad_7517,0.0
medquad_7995,1.0
medquad_6178,0.0
medquad_2703,0.97
medquad_11056,1.0
medquad_13778,0.98
