id,internal_signal_score
medquad_3313,0.96
medquad_373,0.93
medquad_6096,0.99
medquad_240,0.93
medquad_5634,0.02
medquad_6646,0.07
medquad_343,0.99
medquad_6257,0.86
medquad_4632,0.26
medquad_3807,0.93
medquad_12837,0.97
medquad_8139,0.93
medquad_2655,0.84
medquad_10294,0.95
medquad_11443,0.98
medquad_13030,0.97
medquad_8149,0.94
medquad_6924,0.9
medquad_13195,0.95
medquad_11342,0.98
medquad_4542,0.9
medquad_3791,0.97
medquad_6300,0.93
medquad_12154,0.99
medquad_7227,0.97
medquad_3071,0.99
medquad_3219,0.99
medquad_4155,0.97
medquad_11899,0.94
medquad_10005,0.95
medquad_3828,0.89
medquad_8015,0.13
medquad_2048,0.96
medquad_2950,0.96
medquad_2220,0.95
medquad_7009,0.27
medquad_7840,0.94
medquad_2364,0.98
medquad_7012,0.88
medquad_9378,0.88
medquad_9242,0.95
medquad_825,0.93
medquad_1088,0.98
medquad_4616,0.9
medquad_11196,0.96
medquad_5328,0.97
medquad_9266,0.96
medquad_10257,0.98
medquad_9771,0.97
medquad_7214,0.09
medquad_7984,0.97
medquad_8655,0.81
medquad_1270,1.0
medquad_820,0.75
medquad_1331,0.98
medquad_7719,0.7
medquad_10919,0.9
medquad_2124,0.97
medquad_5122,0.91
medquad_13812,1.0
medquad_4076,0.98
medquad_1573,0.94
medquad_6651,0.99
medquad_8571,0.94
medquad_462,0.95
medquad_2849,0.88
medquad_234,0.88
medquad_9405,0.94
medquad_2239,0.96
medquad_327,0.99
medquad_13924,0.96
medquad_7961,0.01
medquad_6743,0.95
medquad_2407,0.92
medquad_8953,0.96
medquad_3472,0.89
medquad_657,0.99
medquad_1149,1.0
medquad_4990,0.51
medquad_8775,0.92
medquad_13079,0.95
medquad_5384,0.99
medquad_10546,0.96
medquad_7218,0.91
medquad_6071,0.02
medquad_14043,0.99
medquad_8774,0.02
medquad_8694,0.04
medquad_10358,0.94
medquad_551,0.91
medquad_1473,0.98
medquad_6694,0.95
medquad_8939,0.0
medquad_1934,0.98
medquad_11088,0.93
medquad_4945,0.98
medquad_13552,0.94
medquad_8590,0.96
medquad_13370,0.89
medquad_5061,0.0
medquad_5676,0.09
medquad_4543,0.19
medquad_7548,0.92
medquad_1053,0.85
medquad_8225,0.91
medquad_7021,0.01
medquad_4103,0.18
medquad_10544,0.71
medquad_7687,0.05
medquad_4529,0.98
medquad_214,0.93
medquad_2023,0.92
medquad_737,0.96
medquad_1365,0.97
medquad_621,0.95
medquad_1250,1.0
medquad_14032,0.96
medquad_8171,0.87
medquad_2260,0.99
medquad_10840,0.96
medquad_13973,0.97
medquad_6158,0.03
medquad_8066,0.96
medquad_6196,0.98
medquad_654,0.92
medquad_1524,0.94
medquad_12595,0.94
medquad_6226,0.84
medquad_3163,0.99
medquad_13825,0.95
medquad_13930,0.96
medquad_2790,0.94
medquad_9430,0.95
medquad_6195,0.94
medquad_650,0.97
medquad_12712,0.98
medquad_4106,0.2
medquad_2346,0.96
medquad_1790,0.88
medquad_5168,0.84
medquad_10968,0.97
medquad_9658,0.95
medquad_2612,0.7
medquad_1425,0.97
medquad_10851,0.98
medquad_6018,0.92
medquad_4195,0.84
medquad_9644,0.88
medquad_267,0.94
medquad_13242,0.97
medquad_13693,0.97
medquad_392,0.95
medquad_13681,0.98
medquad_12305,0.03
medquad_11340,0.05
medquad_10809,0.95
medquad_2645,0.83
medquad_9974,0.96
medquad_1646,0.94
medquad_6995,0.99
medquad_6321,0.93
medquad_11846,0.93
medquad_8615,0.92
medquad_5030,0.96
medquad_5315,0.95
medquad_2550,0.89
medquad_7634,1.0
medquad_8256,0.89
medquad_4514,0.97
medquad_7517,0.03
medquad_7995,0.93
medquad_6178,0.18
medquad_2703,0.94
medquad_11056,0.94
medquad_13778,0.95
medquad_12610,0.93
medquad_2840,0.99
medquad_14070,0.95
medquad_866,0.97
medquad_7315,0.0
medquad_9370,0.96
medquad_3901,0.9
medquad_3558,0.92
medquad_1518,0.95
medquad_13104,0.92
medquad_8326,0.92
medquad_9225,0.9
medquad_9612,0.99
medquad_8141,0.92
medquad_5192,0.09
medquad_12938,0.97
medquad_6387,0.96
medquad_7217,0.91
medquad_9803,0.97
medquad_4730,0.95
medquad_4822,0.94
medquad_92,0.98
medquad_8565,0.86
medquad_255,0.93
medquad_6298,0.05
medquad_10882,0.96
medquad_150,0.93
medquad_8802,0.08
medquad_4160,0.91
medquad_8488,0.94
medquad_1212,0.96
medquad_6799,0.97
medquad_13507,0.95
medquad_10582,0.92
medquad_8892,0.95
medquad_2711,0.68
medquad_11058,0.86
medquad_10729,1.0
medquad_7593,0.9
medquad_12803,1.0
medquad_8317,0.94
medquad_8357,0.86
medquad_811,0.97
medquad_1289,0.97
medquad_2375,0.5
medquad_7537,0.92
medquad_11212,0.96
medquad_577,0.9
medquad_12540,0.99
medquad_10243,0.99
medquad_3988,0.85
medquad_13535,0.98
medquad_10352,0.97
medquad_11049,0.88
medquad_874,0.92
medquad_2916,0.24
medquad_2641,1.0
medquad_1964,0.95
medquad_1072,0.98
medquad_10068,1.0
medquad_4063,0.97
medquad_6817,0.03
medquad_10687,0.88
medquad_12269,0.99
medquad_4140,0.92
medquad_2240,0.93
medquad_8222,0.99
medquad_9768,0.98
medquad_5970,0.97
medquad_10696,0.97
medquad_11828,0.99
medquad_4475,0.97
medquad_413,0.96
medquad_11268,0.99
medquad_2263,0.95
medquad_6882,0.02
medquad_12969,1.0
medquad_3771,0.92
medquad_4538,0.95
medquad_2656,0.95
medquad_3616,0.97
medquad_9281,0.92
medquad_13477,0.06
medquad_9674,0.97
medquad_12104,0.97
medquad_4796,0.27
medquad_11490,0.89
medquad_9805,0.13
medquad_10167,1.0
medquad_7289,1.0
medquad_2530,0.77
medquad_11023,0.82
medquad_9782,0.98
medquad_9239,0.06
medquad_1253,0.99
medquad_4068,0.93
medquad_13525,0.99
medquad_1796,0.89
medquad_11355,0.92
medquad_10399,1.0
medquad_4410,0.95
medquad_12788,0.98
medquad_6033,0.95
medquad_6410,0.9
medquad_535,0.95
medquad_6579,0.97
medquad_10467,0.97
medquad_6105,0.86
medquad_1060,0.98
medquad_6191,0.98
medquad_947,0.87
medquad_2763,0.44
medquad_10297,0.95
medquad_1805,0.94
medquad_10189,0.92
medquad_8551,0.83
medquad_12067,0.97
medquad_5117,0.99
medquad_1517,0.93
medquad_8453,0.92
medquad_813,1.0
medquad_9832,0.94
medquad_2690,0.97
medquad_8050,0.29
medquad_12238,0.89
medquad_2783,0.94
medquad_4754,0.24
medquad_7544,1.0
medquad_2821,0.98
medquad_1436,0.91
medquad_6866,0.1
medquad_13877,0.97
medquad_2912,0.87
medquad_11458,0.9
medquad_8099,1.0
medquad_5617,0.99
medquad_5006,0.95
medquad_4277,0.99
medquad_11172,0.91
medquad_6860,0.95
medquad_4874,0.92
medquad_8783,0.98
medquad_10733,0.94
medquad_2668,0.82
medquad_3196,0.9
medquad_10014,0.89
medquad_2953,0.88
medquad_5861,1.0
medquad_11967,0.93
medquad_6735,0.98
medquad_8296,0.93
medquad_6781,0.97
medquad_12625,0.98
medquad_411,0.94
medquad_4745,0.85
medquad_12770,0.97
medquad_2774,0.87
medquad_7334,0.95
medquad_10487,0.91
medquad_5576,1.0
medquad_2532,0.96
medquad_3818,0.95
medquad_13723,0.96
medquad_11786,0.96
medquad_3960,0.93
medquad_534,0.96
medquad_7473,0.98
medquad_5406,0.98
medquad_10447,0.95
medquad_3587,0.98
medquad_12021,0.96
medquad_12824,0.97
medquad_7774,0.92
