id,hybrid_meta_score
medquad_6033,0.2894506347798114
medquad_10765,0.77
medquad_1354,0.99
medquad_13604,0.55
medquad_1960,1.0
medquad_13866,1.0
medquad_5744,1.0
medquad_10155,1.0
medquad_14040,0.99
medquad_1135,0.98
medquad_584,0.99
medquad_3655,1.0
medquad_6401,0.71
medquad_10571,0.99
medquad_4744,0.13
medquad_7006,1.0
medquad_4519,1.0
medquad_3661,1.0
medquad_13069,0.99
medquad_11931,1.0
medquad_10751,1.0
medquad_10282,0.17905875377984753
medquad_6040,1.0
medquad_1289,0.8039547244094487
medquad_4433,0.93
medquad_162,0.95
medquad_1013,0.96
medquad_12082,1.0
medquad_5758,0.29170206439259977
medquad_7182,0.01
medquad_8284,1.0
medquad_15859,0.282572562083891
medquad_14499,1.0
medquad_2018,0.6722047244094489
medquad_6708,0.4574023980852694
medquad_10345,1.0
medquad_2376,1.0
medquad_10753,0.282572562083891
medquad_2451,0.82
medquad_2790,0.95
medquad_5378,0.29170206439259977
medquad_15825,1.0
medquad_5231,1.0
medquad_10325,0.85
medquad_13752,0.93
medquad_8473,0.2894506347798114
medquad_15686,1.0
medquad_9803,0.29170206439259977
medquad_15259,0.98
medquad_1103,1.0
medquad_12865,0.96
medquad_9582,0.021781250000000002
medquad_13987,0.98
medquad_9774,0.99
medquad_14385,0.94
medquad_11268,1.0
medquad_11164,1.0
medquad_13092,1.0
medquad_13406,0.01
medquad_1132,0.99
medquad_9133,0.282572562083891
medquad_13784,0.2894506347798114
medquad_9804,1.0
medquad_8368,0.5775878384955384
medquad_6794,0.58
medquad_3299,0.72
medquad_15642,1.0
medquad_156,0.97
medquad_1277,1.0
medquad_2305,1.0
medquad_4516,1.0
medquad_380,0.8039547244094487
medquad_5829,1.0
medquad_9361,0.95
medquad_5921,0.99
medquad_12139,1.0
medquad_1602,0.9
medquad_7610,1.0
medquad_9695,0.97
medquad_3215,0.98
medquad_13902,1.0
medquad_11377,0.9
medquad_5006,1.0
medquad_7132,0.01
medquad_9275,0.99
medquad_8590,0.99
medquad_4861,0.01
medquad_6049,1.0
medquad_3481,0.98
medquad_15648,1.0
medquad_6055,1.0
medquad_1243,0.5775878384955384
medquad_11815,0.94
medquad_14793,1.0
medquad_3468,0.282572562083891
medquad_13548,1.0
medquad_10277,0.20175303112715892
medquad_8797,0.015323832352831414
medquad_7061,1.0
medquad_15135,1.0
medquad_155,0.98
medquad_14276,0.96
medquad_11113,1.0
medquad_5193,0.59
medquad_6566,1.0
medquad_3351,0.84
medquad_5804,1.0
medquad_4730,0.5232254398688598
medquad_247,0.89
medquad_6822,0.09924786538565444
medquad_9452,0.023023872679045092
medquad_9127,0.0
medquad_1009,0.4574023980852694
medquad_11343,1.0
medquad_11292,1.0
medquad_6251,1.0
medquad_2114,0.96
medquad_4817,0.9
medquad_9042,0.2144104119527268
medquad_4274,0.99
medquad_15158,0.0
medquad_6602,0.03
medquad_10137,0.20175303112715892
medquad_4498,0.98
medquad_1379,0.7939547244094487
medquad_5004,0.28
medquad_7824,0.91
medquad_10339,0.98
medquad_8793,0.282572562083891
medquad_10461,0.98
medquad_924,0.9
medquad_4923,0.92
medquad_10106,1.0
medquad_11592,0.97
medquad_8265,1.0
medquad_4319,0.98
medquad_2882,1.0
medquad_15485,0.4024550088652482
medquad_11996,0.96
medquad_3067,1.0
medquad_4747,0.03
medquad_5406,0.79
medquad_9909,0.86
medquad_4488,0.01
medquad_11044,0.99
medquad_973,1.0
medquad_3382,0.94
medquad_6495,1.0
medquad_9169,1.0
medquad_11130,0.96
medquad_2894,0.88
medquad_12824,0.99
medquad_12788,1.0
medquad_3451,0.4574023980852694
medquad_8528,0.29170206439259977
medquad_9247,0.4330238726790451
medquad_1673,0.2894506347798114
medquad_2051,1.0
medquad_13620,1.0
medquad_13074,1.0
medquad_2510,1.0
medquad_6762,0.0
medquad_13079,0.98
medquad_3678,0.3730395056364347
medquad_5991,0.75
medquad_10717,0.20175303112715892
medquad_10897,0.96
medquad_866,0.99
medquad_15222,0.29170206439259977
medquad_3378,1.0
medquad_5219,0.91
medquad_1745,0.98
medquad_13722,0.98
medquad_13108,0.68
medquad_2203,1.0
medquad_12717,1.0
medquad_12876,0.5775878384955384
medquad_9828,0.29170206439259977
medquad_4911,1.0
medquad_7046,0.99
medquad_7104,0.9
medquad_4966,0.78
medquad_13113,0.99
medquad_2934,0.99
medquad_10720,1.0
medquad_3961,0.92
medquad_8001,0.91
medquad_12662,1.0
medquad_9888,0.5775878384955384
medquad_5476,1.0
medquad_394,1.0
medquad_12409,0.4574023980852694
medquad_7567,0.01
medquad_9419,0.98
medquad_3828,0.99
medquad_2646,1.0
medquad_119,1.0
medquad_10249,1.0
medquad_15122,0.97
medquad_14642,1.0
medquad_8580,0.74
medquad_15235,0.98
medquad_9532,0.17905875377984753
medquad_12722,0.78
medquad_8891,1.0
medquad_15649,1.0
medquad_3490,0.98
medquad_8955,1.0
medquad_9000,1.0
medquad_14546,0.82
medquad_6473,0.2894506347798114
medquad_5816,0.66
medquad_7764,0.96
medquad_13422,0.98
medquad_3180,1.0
medquad_4889,0.74
medquad_684,0.96
medquad_7786,1.0
medquad_13273,1.0
medquad_3441,1.0
medquad_4367,1.0
medquad_13472,0.88
medquad_519,0.4574023980852694
medquad_12033,0.98
medquad_2987,0.99
medquad_6681,0.94
medquad_4593,0.34178125000000004
medquad_3556,0.2894506347798114
medquad_3753,0.97
medquad_5653,0.282572562083891
medquad_525,0.98
medquad_4425,0.91
medquad_2914,1.0
medquad_6549,1.0
medquad_10684,1.0
medquad_5095,0.13
medquad_14975,0.96
medquad_11115,1.0
medquad_7967,0.20175303112715892
medquad_2400,0.89
medquad_2991,1.0
medquad_11425,0.29170206439259977
medquad_14852,0.98
medquad_8191,0.78
medquad_8218,0.282572562083891
medquad_10865,0.94
medquad_10361,0.89
medquad_14402,0.92
medquad_6646,1.0
medquad_6682,0.09924786538565444
medquad_10546,1.0
medquad_2041,0.94
medquad_382,1.0
medquad_11015,0.86
medquad_2379,1.0
medquad_1523,1.0
medquad_13546,1.0
medquad_3833,0.94
medquad_1727,1.0
medquad_5233,0.15
medquad_1240,0.91
medquad_10468,0.2894506347798114
medquad_1058,1.0
medquad_729,0.95
medquad_9925,0.83
medquad_10742,0.0
medquad_5404,0.93
medquad_9434,0.96
medquad_4259,0.4574023980852694
medquad_10762,0.3644220738237712
medquad_15617,0.97
medquad_1848,1.0
medquad_942,0.99
medquad_4622,0.41
medquad_1762,0.72
medquad_6632,0.17905875377984753
medquad_12390,0.94
medquad_13678,0.0
medquad_4185,0.95
medquad_3056,1.0
medquad_4875,0.98
medquad_10086,1.0
medquad_3300,0.79
medquad_10875,0.9
medquad_4398,1.0
medquad_9622,0.09924786538565444
medquad_8934,1.0
medquad_12449,0.87
medquad_12716,1.0
medquad_6494,0.96
medquad_10895,1.0
medquad_4588,0.78
medquad_2624,0.282572562083891
medquad_5995,1.0
medquad_10888,0.97
medquad_8305,1.0
medquad_7815,1.0
medquad_11467,0.9
medquad_9166,1.0
medquad_10260,0.95
medquad_10788,0.97
medquad_15291,0.99
medquad_12316,0.99
medquad_10234,0.68
medquad_7769,1.0
medquad_11057,1.0
medquad_6557,0.07
medquad_9966,1.0
medquad_1352,0.75
medquad_4545,0.0530238726790451
medquad_5243,0.91
medquad_4356,1.0
medquad_2588,0.99
medquad_3612,0.96
medquad_14708,1.0
medquad_13001,0.96
medquad_2484,1.0
medquad_10530,0.96
medquad_3219,0.4574023980852694
medquad_11049,1.0
medquad_12305,1.0
medquad_10565,1.0
medquad_2338,0.95
medquad_10409,1.0
medquad_11076,0.74
medquad_256,0.99
medquad_7499,0.95
medquad_4567,0.88
medquad_10568,0.282572562083891
medquad_12300,0.97
medquad_12264,0.95
medquad_14789,0.98
medquad_2260,1.0
medquad_15152,0.6149374398460058
medquad_5968,0.4574023980852694
medquad_4862,0.0530238726790451
medquad_2920,0.6495331176835996
medquad_5719,1.0
medquad_1638,0.99
medquad_11531,0.8
medquad_10508,0.4574023980852694
medquad_13874,0.42
medquad_14455,0.5775878384955384
medquad_7248,0.282572562083891
medquad_13487,0.91
medquad_11484,0.2894506347798114
medquad_2905,0.94
medquad_35,0.96
medquad_8377,0.48178125
medquad_14248,0.5775878384955384
medquad_6811,1.0
medquad_9394,1.0
medquad_13935,0.2894506347798114
medquad_3965,0.282572562083891
medquad_1796,0.81
medquad_7747,0.01
medquad_7359,1.0
medquad_6878,0.5775878384955384
medquad_1666,0.98
medquad_15086,0.282572562083891
medquad_15413,1.0
medquad_11035,1.0
medquad_1138,1.0
medquad_9708,0.29170206439259977
medquad_11021,0.79
medquad_7458,1.0
medquad_14592,0.81
medquad_12061,0.98
medquad_10980,1.0
medquad_5901,0.85
medquad_10472,0.03
medquad_14492,0.48302387267904506
medquad_748,0.99
medquad_2898,1.0
medquad_9793,0.2894506347798114
medquad_5795,1.0
medquad_12074,0.99
medquad_13755,0.95
medquad_5023,0.01
medquad_3248,1.0
medquad_2352,1.0
medquad_11017,1.0
medquad_11244,1.0
medquad_5970,1.0
medquad_7955,0.99
medquad_1616,1.0
medquad_2248,0.29170206439259977
medquad_3304,1.0
medquad_6888,0.29170206439259977
medquad_2436,0.95
medquad_15320,1.0
medquad_7597,0.01
medquad_13696,1.0
medquad_12792,1.0
medquad_3190,0.92
medquad_4342,1.0
medquad_5076,0.04
medquad_6298,0.282572562083891
medquad_3563,1.0
medquad_13706,1.0
