id,hybrid_meta_score
medquad_3313,1.0
medquad_373,1.0
medquad_6096,0.93
medquad_240,0.81
medquad_5634,0.0
medquad_6646,0.0
medquad_343,1.0
medquad_6257,1.0
medquad_4632,0.0
medquad_3807,1.0
medquad_12837,0.99
medquad_8139,1.0
medquad_2655,1.0
medquad_10294,1.0
medquad_11443,1.0
medquad_13030,0.99
medquad_8149,0.96
medquad_6924,0.83
medquad_13195,0.98
medquad_11342,0.98
medquad_4542,0.0
medquad_3791,0.99
medquad_6300,1.0
medquad_12154,1.0
medquad_7227,1.0
medquad_3071,0.98
medquad_3219,1.0
medquad_4155,0.92
medquad_11899,1.0
medquad_10005,1.0
medquad_3828,1.0
medquad_8015,0.0
medquad_2048,0.94
medquad_2950,1.0
medquad_2220,0.94
medquad_7009,0.48
medquad_7840,0.92
medquad_2364,1.0
medquad_7012,0.96
medquad_9378,1.0
medquad_9242,1.0
medquad_825,0.73
medquad_1088,0.91
medquad_4616,0.98
medquad_11196,0.98
medquad_5328,1.0
medquad_9266,0.92
medquad_10257,1.0
medquad_9771,0.82
medquad_7214,0.0
medquad_7984,1.0
medquad_8655,0.97
medquad_1270,1.0
medquad_820,0.91
medquad_1331,0.99
medquad_7719,1.0
medquad_10919,0.99
medquad_2124,0.64
medquad_5122,1.0
medquad_13812,1.0
medquad_4076,0.96
medquad_1573,1.0
medquad_6651,1.0
medquad_8571,1.0
medquad_462,1.0
medquad_2849,0.72
medquad_234,1.0
medquad_9405,0.87
medquad_2239,1.0
medquad_327,1.0
medquad_13924,0.82
medquad_7961,0.01
medquad_6743,1.0
medquad_2407,0.94
medquad_8953,0.97
medquad_3472,1.0
medquad_657,0.99
medquad_1149,1.0
medquad_4990,1.0
medquad_8775,0.98
medquad_13079,0.96
medquad_5384,0.99
medquad_10546,0.99
medquad_7218,1.0
medquad_6071,0.12
medquad_14043,0.8
medquad_8774,0.01
medquad_8694,0.0
medquad_10358,1.0
medquad_551,0.99
medquad_1473,1.0
medquad_6694,1.0
medquad_8939,0.0
medquad_1934,1.0
medquad_11088,0.94
medquad_4945,0.99
medquad_13552,0.96
medquad_8590,1.0
medquad_13370,1.0
medquad_5061,0.12
medquad_5676,0.01
medquad_4543,0.0
medquad_7548,0.91
medquad_1053,0.86
medquad_8225,1.0
medquad_7021,0.04
medquad_4103,0.13
medquad_10544,0.93
medquad_7687,0.0
medquad_4529,1.0
medquad_214,0.88
medquad_2023,0.9
medquad_737,0.92
medquad_1365,1.0
medquad_621,1.0
medquad_1250,1.0
medquad_14032,1.0
medquad_8171,1.0
medquad_2260,1.0
medquad_10840,0.98
medquad_13973,1.0
medquad_6158,0.0
medquad_8066,0.92
medquad_6196,0.89
medquad_654,0.84
medquad_1524,0.99
medquad_12595,1.0
medquad_6226,0.89
medquad_3163,1.0
medquad_13825,1.0
medquad_13930,1.0
medquad_2790,1.0
medquad_9430,0.99
medquad_6195,1.0
medquad_650,0.96
medquad_12712,1.0
medquad_4106,0.08
medquad_2346,1.0
medquad_1790,1.0
medquad_5168,0.97
medquad_10968,0.98
medquad_9658,1.0
medquad_2612,0.32
medquad_1425,1.0
medquad_10851,0.99
medquad_6018,1.0
medquad_4195,0.01
medquad_9644,0.94
medquad_267,0.71
medquad_13242,1.0
medquad_13693,1.0
medquad_392,1.0
medquad_13681,0.94
medquad_12305,0.0
medquad_11340,0.3
medquad_10809,1.0
medquad_2645,0.97
medquad_9974,0.91
medquad_1646,1.0
medquad_6995,0.98
medquad_6321,1.0
medquad_11846,1.0
medquad_8615,1.0
medquad_5030,1.0
medquad_5315,1.0
medquad_2550,0.97
medquad_7634,0.97
medquad_8256,0.94
medquad_4514,0.88
medquad_7517,0.0
medquad_7995,1.0
medquad_6178,0.04
medquad_2703,1.0
medquad_11056,1.0
medquad_13778,0.97
