id,internal_signal_score
medquad_3313,0.94
medquad_373,0.99
medquad_6096,0.93
medquad_240,0.96
medquad_5634,0.18
medquad_6646,0.13
medquad_343,0.98
medquad_6257,0.91
medquad_4632,0.12
medquad_3807,0.94
medquad_12837,0.87
medquad_8139,0.98
medquad_2655,0.98
medquad_10294,0.98
medquad_11443,0.96
medquad_13030,1.0
medquad_8149,0.9
medquad_6924,1.0
medquad_13195,0.88
medquad_11342,1.0
medquad_4542,0.1
medquad_3791,0.85
medquad_6300,0.91
medquad_12154,0.99
medquad_7227,1.0
medquad_3071,1.0
medquad_3219,1.0
medquad_4155,1.0
medquad_11899,0.94
medquad_10005,0.98
medquad_3828,0.97
medquad_8015,0.19
medquad_2048,0.98
medquad_2950,0.99
medquad_2220,0.93
medquad_7009,0.18
medquad_7840,0.96
medquad_2364,0.82
medquad_7012,0.9
medquad_9378,0.98
medquad_9242,0.99
medquad_825,0.97
medquad_1088,0.96
medquad_4616,0.93
medquad_11196,0.9
medquad_5328,0.87
medquad_9266,0.98
medquad_10257,0.96
medquad_9771,0.94
medquad_7214,0.12
medquad_7984,1.0
medquad_8655,0.82
medquad_1270,0.99
medquad_820,0.89
medquad_1331,0.99
medquad_7719,1.0
medquad_10919,0.91
medquad_2124,1.0
medquad_5122,0.99
medquad_13812,0.96
medquad_4076,0.96
medquad_1573,0.83
medquad_6651,0.99
medquad_8571,0.9
medquad_462,0.99
medquad_2849,0.97
medquad_234,0.95
medquad_9405,0.83
medquad_2239,0.97
medquad_327,1.0
medquad_13924,0.82
medquad_7961,0.02
medquad_6743,0.96
medquad_2407,0.97
medquad_8953,1.0
medquad_3472,0.97
medquad_657,1.0
medquad_1149,0.97
medquad_4990,0.87
medquad_8775,0.97
medquad_13079,1.0
medquad_5384,0.99
medquad_10546,0.99
medquad_7218,1.0
medquad_6071,0.09
medquad_14043,0.73
medquad_8774,0.02
medquad_8694,0.2
medquad_10358,0.99
medquad_551,1.0
medquad_1473,1.0
medquad_6694,0.95
medquad_8939,0.08
medquad_1934,0.9
medquad_11088,0.97
medquad_4945,0.97
medquad_13552,0.93
medquad_8590,0.97
medquad_13370,0.98
medquad_5061,0.02
medquad_5676,0.06
medquad_4543,0.13
medquad_7548,0.96
medquad_1053,0.99
medquad_8225,0.95
medquad_7021,0.02
medquad_4103,0.3
medquad_10544,0.85
medquad_7687,0.12
medquad_4529,0.96
medquad_214,0.93
medquad_2023,0.97
medquad_737,0.97
medquad_1365,0.96
medquad_621,0.94
medquad_1250,0.98
medquad_14032,0.95
medquad_8171,0.99
medquad_2260,0.98
medquad_10840,0.94
medquad_13973,0.97
medquad_6158,0.12
medquad_8066,0.95
medquad_6196,0.99
medquad_654,0.97
medquad_1524,0.83
medquad_12595,0.9
medquad_6226,0.89
medquad_3163,0.96
medquad_13825,1.0
medquad_13930,1.0
medquad_2790,0.99
medquad_9430,0.96
medquad_6195,0.98
medquad_650,0.95
medquad_12712,0.98
medquad_4106,0.25
medquad_2346,0.99
medquad_1790,0.9
medquad_5168,0.93
medquad_10968,0.84
medquad_9658,1.0
medquad_2612,0.77
medquad_1425,0.9
medquad_10851,0.94
medquad_6018,0.99
medquad_4195,0.2
medquad_9644,0.9
medquad_267,0.99
medquad_13242,1.0
medquad_13693,0.98
medquad_392,0.99
medquad_13681,0.83
medquad_12305,0.24
medquad_11340,0.02
medquad_10809,0.98
medquad_2645,0.91
medquad_9974,0.96
medquad_1646,0.9
medquad_6995,0.97
medquad_6321,0.99
medquad_11846,0.99
medquad_8615,0.92
