id,hybrid_meta_score
synth_dosage_0000,0.99
synth_dosage_0001,1.0
synth_dosage_0002,0.97
synth_dosage_0003,1.0
synth_dosage_0004,0.99
synth_dosage_0005,1.0
synth_dosage_0006,0.78
synth_dosage_0007,1.0
synth_dosage_0008,1.0
synth_dosage_0009,1.0
synth_dosage_0010,1.0
synth_dosage_0011,1.0
synth_dosage_0012,0.57
synth_dosage_0013,1.0
synth_dosage_0014,0.98
synth_dosage_0015,1.0
synth_dosage_0016,1.0
synth_dosage_0017,1.0
synth_dosage_0018,0.7
synth_dosage_0019,1.0
synth_dosage_0020,1.0
synth_dosage_0021,1.0
synth_dosage_0022,0.98
synth_dosage_0023,1.0
synth_dosage_0024,0.57
synth_dosage_0025,0.2
synth_dosage_0026,0.99
synth_dosage_0027,0.12
synth_dosage_0028,1.0
synth_dosage_0029,1.0
synth_dosage_0030,1.0
synth_dosage_0031,0.2
synth_dosage_0032,0.8
synth_dosage_0033,1.0
synth_dosage_0034,0.98
synth_dosage_0035,1.0
synth_dosage_0036,1.0
synth_dosage_0037,0.62
synth_dosage_0038,1.0
synth_dosage_0039,1.0
synth_dosage_0040,0.97
synth_dosage_0041,0.67
synth_dosage_0042,0.24
synth_dosage_0043,1.0
synth_dosage_0044,1.0
synth_dosage_0045,1.0
synth_dosage_0046,0.92
synth_dosage_0047,1.0
synth_dosage_0048,1.0
synth_dosage_0049,0.74
synth_dosage_0050,0.88
synth_dosage_0051,1.0
synth_dosage_0052,1.0
synth_dosage_0053,0.99
synth_dosage_0054,1.0
synth_dosage_0055,1.0
synth_dosage_0056,0.87
synth_dosage_0057,1.0
synth_dosage_0058,1.0
synth_dosage_0059,1.0
synth_dosage_0060,0.61
synth_dosage_0061,0.31
synth_dosage_0062,0.72
synth_dosage_0063,0.99
synth_dosage_0064,1.0
synth_dosage_0065,0.98
synth_dosage_0066,1.0
synth_dosage_0067,1.0
synth_dosage_0068,1.0
synth_dosage_0069,1.0
synth_dosage_0070,0.99
synth_dosage_0071,0.85
synth_dosage_0072,1.0
synth_dosage_0073,1.0
synth_dosage_0074,0.98
synth_dosage_0075,1.0
synth_dosage_0076,1.0
synth_dosage_0077,1.0
synth_dosage_0078,0.98
synth_dosage_0079,1.0
synth_dosage_0080,1.0
synth_dosage_0081,0.74
synth_dosage_0082,1.0
synth_dosage_0083,1.0
synth_dosage_0084,1.0
synth_dosage_0085,0.99
synth_dosage_0086,1.0
synth_dosage_0087,1.0
synth_dosage_0088,0.07
synth_dosage_0089,1.0
synth_dosage_0090,1.0
synth_dosage_0091,1.0
synth_dosage_0092,0.39
synth_dosage_0093,1.0
synth_dosage_0094,0.23
synth_dosage_0095,1.0
synth_dosage_0096,0.7
synth_dosage_0097,1.0
synth_dosage_0098,1.0
synth_dosage_0099,0.97
synth_dosage_0100,1.0
synth_dosage_0101,0.85
synth_dosage_0102,0.13
synth_dosage_0103,1.0
synth_dosage_0104,1.0
synth_dosage_0105,1.0
synth_dosage_0106,0.98
synth_dosage_0107,0.86
synth_dosage_0108,0.39
synth_dosage_0109,1.0
synth_dosage_0110,1.0
synth_dosage_0111,1.0
synth_dosage_0112,1.0
synth_dosage_0113,1.0
synth_dosage_0114,1.0
synth_dosage_0115,0.99
synth_dosage_0116,1.0
synth_dosage_0117,1.0
synth_dosage_0118,1.0
synth_dosage_0119,0.99
synth_dosage_0120,0.95
synth_dosage_0121,1.0
synth_dosage_0122,0.44
synth_dosage_0123,1.0
synth_dosage_0124,0.2
synth_dosage_0125,1.0
synth_dosage_0126,0.97
synth_dosage_0127,1.0
synth_dosage_0128,0.25
synth_dosage_0129,1.0
synth_dosage_0130,1.0
synth_dosage_0131,1.0
synth_dosage_0132,0.99
synth_dosage_0133,0.91
synth_dosage_0134,0.77
synth_dosage_0135,0.16
synth_dosage_0136,1.0
synth_dosage_0137,1.0
synth_dosage_0138,1.0
synth_dosage_0139,0.96
synth_dosage_0140,1.0
synth_dosage_0141,0.42
synth_dosage_0142,0.99
synth_dosage_0143,1.0
synth_dosage_0144,1.0
synth_dosage_0145,1.0
synth_dosage_0146,1.0
synth_dosage_0147,1.0
synth_dosage_0148,1.0
synth_dosage_0149,1.0
synth_dosage_0150,1.0
synth_dosage_0151,1.0
synth_dosage_0152,1.0
synth_dosage_0153,0.99
synth_dosage_0154,1.0
synth_dosage_0155,0.87
synth_dosage_0156,0.14
synth_dosage_0157,0.53
synth_dosage_0158,1.0
synth_dosage_0159,1.0
synth_dosage_0160,0.98
synth_dosage_0161,0.47
synth_dosage_0162,0.51
synth_dosage_0163,1.0
synth_dosage_0164,1.0
synth_dosage_0165,1.0
synth_dosage_0166,0.99
synth_dosage_0167,0.41
synth_dosage_0168,0.95
synth_dosage_0169,0.16
synth_dosage_0170,0.38
synth_dosage_0171,0.01
synth_dosage_0172,1.0
synth_dosage_0173,1.0
synth_dosage_0174,1.0
synth_dosage_0175,0.97
synth_dosage_0176,0.49
synth_dosage_0177,1.0
synth_dosage_0178,0.24
synth_dosage_0179,1.0
synth_dosage_0180,1.0
synth_dosage_0181,1.0
synth_dosage_0182,0.96
synth_dosage_0183,0.51
synth_dosage_0184,0.03
synth_dosage_0185,1.0
synth_dosage_0186,1.0
synth_dosage_0187,0.99
synth_dosage_0188,0.15
synth_dosage_0189,0.36
synth_dosage_0190,0.99
synth_dosage_0191,0.98
synth_dosage_0192,1.0
synth_dosage_0193,0.99
synth_dosage_0194,0.98
synth_dosage_0195,1.0
synth_dosage_0196,1.0
synth_dosage_0197,1.0
synth_dosage_0198,1.0
synth_dosage_0199,0.98
synth_dosage_0200,1.0
synth_dosage_0201,0.09
synth_dosage_0202,0.19
synth_dosage_0203,0.99
synth_dosage_0204,1.0
synth_dosage_0205,0.98
synth_dosage_0206,0.99
synth_dosage_0207,0.94
synth_dosage_0208,0.95
synth_dosage_0209,0.24
synth_dosage_0210,1.0
synth_dosage_0211,0.99
synth_dosage_0212,0.99
synth_dosage_0213,1.0
synth_dosage_0214,1.0
synth_dosage_0215,1.0
synth_dosage_0216,1.0
synth_dosage_0217,1.0
synth_dosage_0218,1.0
synth_dosage_0219,0.25
synth_dosage_0220,1.0
synth_dosage_0221,1.0
synth_dosage_0222,0.1
synth_dosage_0223,1.0
synth_dosage_0224,0.92
synth_dosage_0225,0.21
synth_dosage_0226,0.28
synth_dosage_0227,1.0
synth_dosage_0228,0.99
synth_dosage_0229,0.16
synth_dosage_0230,0.41
synth_dosage_0231,0.99
synth_dosage_0232,0.99
synth_dosage_0233,0.98
synth_dosage_0234,0.98
synth_dosage_0235,0.3
synth_dosage_0236,0.85
synth_dosage_0237,1.0
synth_dosage_0238,1.0
synth_dosage_0239,1.0
synth_dosage_0240,1.0
synth_dosage_0241,1.0
synth_dosage_0242,0.02
synth_dosage_0243,1.0
synth_dosage_0244,0.97
synth_dosage_0245,1.0
synth_dosage_0246,0.7
synth_dosage_0247,1.0
synth_dosage_0248,0.07
synth_dosage_0249,1.0
synth_dosage_0250,0.09
synth_dosage_0251,1.0
synth_dosage_0252,1.0
synth_dosage_0253,0.36
synth_dosage_0254,0.97
synth_dosage_0255,0.99
synth_dosage_0256,1.0
synth_dosage_0257,0.99
synth_dosage_0258,1.0
synth_dosage_0259,1.0
synth_dosage_0260,0.59
synth_dosage_0261,0.98
synth_dosage_0262,0.96
synth_dosage_0263,1.0
synth_dosage_0264,0.22
synth_dosage_0265,0.1
synth_dosage_0266,0.22
synth_dosage_0267,0.04
synth_dosage_0268,0.09
synth_dosage_0269,1.0
synth_dosage_0270,0.99
synth_dosage_0271,1.0
synth_dosage_0272,0.11
synth_dosage_0273,0.99
synth_dosage_0274,0.12
synth_dosage_0275,1.0
synth_dosage_0276,0.96
synth_dosage_0277,0.22
synth_dosage_0278,1.0
synth_dosage_0279,0.7
synth_dosage_0280,0.84
synth_dosage_0281,0.07
synth_dosage_0282,0.3
synth_dosage_0283,0.7
synth_dosage_0284,0.98
synth_dosage_0285,0.97
synth_dosage_0286,1.0
synth_dosage_0287,0.13
synth_dosage_0288,0.79
synth_dosage_0289,0.08
synth_dosage_0290,1.0
synth_dosage_0291,1.0
synth_dosage_0292,0.08
synth_dosage_0293,0.03
synth_dosage_0294,1.0
synth_dosage_0295,0.55
synth_dosage_0296,1.0
synth_dosage_0297,1.0
synth_dosage_0298,1.0
synth_dosage_0299,0.08
synth_dosage_0300,0.99
synth_dosage_0301,1.0
synth_dosage_0302,0.16
synth_dosage_0303,0.14
