id,internal_signal_score
synth_dosage_0000,0.97
synth_dosage_0001,0.95
synth_dosage_0002,0.99
synth_dosage_0003,0.98
synth_dosage_0004,1.0
synth_dosage_0005,0.98
synth_dosage_0006,0.83
synth_dosage_0007,0.98
synth_dosage_0008,0.98
synth_dosage_0009,0.97
synth_dosage_0010,0.94
synth_dosage_0011,0.96
synth_dosage_0012,0.69
synth_dosage_0013,1.0
synth_dosage_0014,0.84
synth_dosage_0015,0.96
synth_dosage_0016,0.95
synth_dosage_0017,0.97
synth_dosage_0018,0.3
synth_dosage_0019,0.96
synth_dosage_0020,0.99
synth_dosage_0021,0.94
synth_dosage_0022,0.98
synth_dosage_0023,0.96
synth_dosage_0024,0.83
synth_dosage_0025,0.5
synth_dosage_0026,0.98
synth_dosage_0027,0.61
synth_dosage_0028,0.98
synth_dosage_0029,0.9
synth_dosage_0030,0.98
synth_dosage_0031,0.55
synth_dosage_0032,0.76
synth_dosage_0033,0.96
synth_dosage_0034,0.93
synth_dosage_0035,0.89
synth_dosage_0036,0.89
synth_dosage_0037,0.7
synth_dosage_0038,0.98
synth_dosage_0039,0.99
synth_dosage_0040,0.92
synth_dosage_0041,0.53
synth_dosage_0042,0.68
synth_dosage_0043,0.98
synth_dosage_0044,0.99
synth_dosage_0045,0.97
synth_dosage_0046,0.79
synth_dosage_0047,0.98
synth_dosage_0048,0.98
synth_dosage_0049,0.82
synth_dosage_0050,0.92
synth_dosage_0051,0.99
synth_dosage_0052,0.99
synth_dosage_0053,1.0
synth_dosage_0054,0.96
synth_dosage_0055,0.91
synth_dosage_0056,0.79
synth_dosage_0057,1.0
synth_dosage_0058,1.0
synth_dosage_0059,0.95
synth_dosage_0060,0.66
synth_dosage_0061,0.64
synth_dosage_0062,0.82
synth_dosage_0063,0.99
synth_dosage_0064,0.99
synth_dosage_0065,0.92
synth_dosage_0066,0.99
synth_dosage_0067,0.96
synth_dosage_0068,0.95
synth_dosage_0069,0.98
synth_dosage_0070,0.9
synth_dosage_0071,0.68
synth_dosage_0072,0.96
synth_dosage_0073,0.98
synth_dosage_0074,0.97
synth_dosage_0075,0.98
synth_dosage_0076,0.98
synth_dosage_0077,0.99
synth_dosage_0078,0.98
synth_dosage_0079,0.97
synth_dosage_0080,1.0
synth_dosage_0081,0.66
synth_dosage_0082,0.95
synth_dosage_0083,0.96
