id,internal_signal_score
synth_dosage_0000,1.0
synth_dosage_0001,0.96
synth_dosage_0002,0.99
synth_dosage_0003,0.98
synth_dosage_0004,1.0
synth_dosage_0005,0.93
synth_dosage_0006,1.0
synth_dosage_0007,1.0
synth_dosage_0008,1.0
synth_dosage_0009,0.99
synth_dosage_0010,0.95
synth_dosage_0011,1.0
synth_dosage_0012,1.0
synth_dosage_0013,1.0
synth_dosage_0014,1.0
synth_dosage_0015,1.0
synth_dosage_0016,1.0
synth_dosage_0017,0.96
synth_dosage_0018,1.0
synth_dosage_0019,1.0
synth_dosage_0020,0.96
synth_dosage_0021,0.99
synth_dosage_0022,0.96
synth_dosage_0023,1.0
synth_dosage_0024,1.0
synth_dosage_0025,1.0
synth_dosage_0026,0.95
synth_dosage_0027,1.0
synth_dosage_0028,0.88
synth_dosage_0029,0.96
synth_dosage_0030,0.97
synth_dosage_0031,0.99
synth_dosage_0032,1.0
synth_dosage_0033,0.98
synth_dosage_0034,1.0
synth_dosage_0035,0.98
synth_dosage_0036,1.0
synth_dosage_0037,0.96
synth_dosage_0038,1.0
synth_dosage_0039,0.99
synth_dosage_0040,0.96
synth_dosage_0041,0.99
synth_dosage_0042,0.99
synth_dosage_0043,0.98
synth_dosage_0044,0.98
synth_dosage_0045,0.98
synth_dosage_0046,1.0
synth_dosage_0047,0.97
synth_dosage_0048,1.0
synth_dosage_0049,0.97
synth_dosage_0050,0.97
synth_dosage_0051,1.0
synth_dosage_0052,1.0
synth_dosage_0053,1.0
synth_dosage_0054,1.0
synth_dosage_0055,0.98
synth_dosage_0056,0.98
synth_dosage_0057,1.0
synth_dosage_0058,0.99
synth_dosage_0059,0.96
synth_dosage_0060,0.96
synth_dosage_0061,1.0
synth_dosage_0062,1.0
synth_dosage_0063,1.0
synth_dosage_0064,1.0
synth_dosage_0065,1.0
synth_dosage_0066,0.98
synth_dosage_0067,0.97
synth_dosage_0068,1.0
synth_dosage_0069,1.0
synth_dosage_0070,1.0
synth_dosage_0071,0.99
synth_dosage_0072,1.0
synth_dosage_0073,0.98
synth_dosage_0074,0.99
synth_dosage_0075,1.0
synth_dosage_0076,1.0
synth_dosage_0077,0.87
synth_dosage_0078,0.87
synth_dosage_0079,1.0
synth_dosage_0080,1.0
synth_dosage_0081,0.98
synth_dosage_0082,1.0
synth_dosage_0083,0.99
synth_dosage_0084,1.0
synth_dosage_0085,0.99
synth_dosage_0086,1.0
synth_dosage_0087,1.0
synth_dosage_0088,1.0
synth_dosage_0089,1.0
synth_dosage_0090,0.95
