id,internal_signal_score
synth_dosage_0000,1.0
synth_dosage_0001,1.0
synth_dosage_0002,1.0
synth_dosage_0003,1.0
synth_dosage_0004,1.0
synth_dosage_0005,1.0
synth_dosage_0006,1.0
synth_dosage_0007,1.0
synth_dosage_0008,1.0
synth_dosage_0009,0.99
synth_dosage_0010,1.0
synth_dosage_0011,0.98
synth_dosage_0012,1.0
synth_dosage_0013,1.0
synth_dosage_0014,1.0
synth_dosage_0015,1.0
synth_dosage_0016,1.0
synth_dosage_0017,1.0
synth_dosage_0018,1.0
synth_dosage_0019,1.0
synth_dosage_0020,1.0
synth_dosage_0021,1.0
synth_dosage_0022,1.0
synth_dosage_0023,1.0
synth_dosage_0024,1.0
synth_dosage_0025,1.0
synth_dosage_0026,1.0
synth_dosage_0027,1.0
synth_dosage_0028,0.99
synth_dosage_0029,1.0
synth_dosage_0030,1.0
synth_dosage_0031,1.0
synth_dosage_0032,1.0
synth_dosage_0033,1.0
synth_dosage_0034,1.0
synth_dosage_0035,1.0
synth_dosage_0036,1.0
synth_dosage_0037,1.0
synth_dosage_0038,1.0
synth_dosage_0039,1.0
synth_dosage_0040,1.0
synth_dosage_0041,1.0
synth_dosage_0042,1.0
synth_dosage_0043,1.0
synth_dosage_0044,1.0
synth_dosage_0045,1.0
synth_dosage_0046,1.0
synth_dosage_0047,1.0
synth_dosage_0048,1.0
synth_dosage_0049,1.0
synth_dosage_0050,1.0
synth_dosage_0051,0.99
synth_dosage_0052,1.0
synth_dosage_0053,1.0
synth_dosage_0054,1.0
synth_dosage_0055,1.0
synth_dosage_0056,1.0
synth_dosage_0057,1.0
synth_dosage_0058,1.0
synth_dosage_0059,1.0
synth_dosage_0060,1.0
synth_dosage_0061,1.0
synth_dosage_0062,1.0
synth_dosage_0063,0.99
synth_dosage_0064,1.0
synth_dosage_0065,1.0
synth_dosage_0066,1.0
synth_dosage_0067,1.0
synth_dosage_0068,1.0
synth_dosage_0069,1.0
synth_dosage_0070,1.0
synth_dosage_0071,1.0
synth_dosage_0072,0.98
synth_dosage_0073,1.0
synth_dosage_0074,1.0
synth_dosage_0075,1.0
synth_dosage_0076,1.0
synth_dosage_0077,1.0
synth_dosage_0078,1.0
synth_dosage_0079,1.0
synth_dosage_0080,1.0
synth_dosage_0081,1.0
synth_dosage_0082,1.0
synth_dosage_0083,1.0
synth_dosage_0084,1.0
synth_dosage_0085,1.0
synth_dosage_0086,1.0
synth_dosage_0087,1.0
synth_dosage_0088,1.0
synth_dosage_0089,1.0
synth_dosage_0090,1.0
synth_dosage_0091,1.0
synth_dosage_0092,1.0
synth_dosage_0093,1.0
synth_dosage_0094,1.0
synth_dosage_0095,1.0
synth_dosage_0096,1.0
synth_dosage_0097,1.0
synth_dosage_0098,1.0
synth_dosage_0099,1.0
synth_dosage_0100,1.0
synth_dosage_0101,1.0
synth_dosage_0102,1.0
synth_dosage_0103,1.0
synth_dosage_0104,1.0
synth_dosage_0105,1.0
synth_dosage_0106,1.0
synth_dosage_0107,1.0
synth_dosage_0108,1.0
synth_dosage_0109,1.0
synth_dosage_0110,1.0
synth_dosage_0111,1.0
synth_dosage_0112,1.0
synth_dosage_0113,1.0
synth_dosage_0114,1.0
synth_dosage_0115,1.0
synth_dosage_0116,1.0
synth_dosage_0117,1.0
synth_dosage_0118,1.0
synth_dosage_0119,1.0
synth_dosage_0120,1.0
synth_dosage_0121,1.0
synth_dosage_0122,1.0
synth_dosage_0123,1.0
synth_dosage_0124,1.0
synth_dosage_0125,1.0
synth_dosage_0126,1.0
synth_dosage_0127,1.0
synth_dosage_0128,1.0
synth_dosage_0129,1.0
synth_dosage_0130,1.0
synth_dosage_0131,1.0
synth_dosage_0132,1.0
synth_dosage_0133,1.0
synth_dosage_0134,1.0
synth_dosage_0135,1.0
synth_dosage_0136,1.0
synth_dosage_0137,1.0
synth_dosage_0138,1.0
synth_dosage_0139,1.0
synth_dosage_0140,1.0
synth_dosage_0141,1.0
synth_dosage_0142,1.0
synth_dosage_0143,1.0
synth_dosage_0144,1.0
synth_dosage_0145,1.0
synth_dosage_0146,0.99
synth_dosage_0147,1.0
synth_dosage_0148,1.0
synth_dosage_0149,1.0
synth_dosage_0150,1.0
synth_dosage_0151,1.0
synth_dosage_0152,1.0
synth_dosage_0153,1.0
synth_dosage_0154,1.0
synth_dosage_0155,0.98
synth_dosage_0156,1.0
synth_dosage_0157,1.0
synth_dosage_0158,1.0
synth_dosage_0159,1.0
synth_dosage_0160,0.92
synth_dosage_0161,1.0
synth_dosage_0162,1.0
synth_dosage_0163,0.1
synth_dosage_0164,0.04
synth_dosage_0165,0.02
synth_dosage_0166,0.15
synth_dosage_0167,1.0
synth_dosage_0168,0.08
synth_dosage_0169,0.82
synth_dosage_0170,0.04
synth_dosage_0171,0.02
synth_dosage_0172,0.04
synth_dosage_0173,1.0
synth_dosage_0174,1.0
synth_dosage_0175,1.0
synth_dosage_0176,0.2
synth_dosage_0177,1.0
synth_dosage_0178,0.98
synth_dosage_0179,0.99
synth_dosage_0180,0.92
synth_dosage_0181,0.0
synth_dosage_0182,1.0
synth_dosage_0183,1.0
synth_dosage_0184,1.0
synth_dosage_0185,0.03
synth_dosage_0186,0.76
synth_dosage_0187,1.0
synth_dosage_0188,1.0
synth_dosage_0189,0.38
synth_dosage_0190,0.01
synth_dosage_0191,0.07
synth_dosage_0192,0.01
synth_dosage_0193,0.89
synth_dosage_0194,1.0
synth_dosage_0195,0.27
synth_dosage_0196,0.05
synth_dosage_0197,0.2
synth_dosage_0198,0.91
